Time,	Latent,	Infectious,	InfectiousIdentified,	InfectiousUnderTreatmean,	InfectiousNotCured,	TotalInfectious,	RecoveredLatent,	Relapse
0,	151.029999,	1.220000,	0.040000,	2.090000,	0.070000,	1.330000,	0.150000,	0.000000
1,	35.470001,	131.209991,	0.000000,	0.000000,	0.000000,	131.209994,	0.000000,	0.000000
2,	64.680000,	114.780006,	0.000000,	0.000000,	0.000000,	114.780003,	0.000000,	0.000000
3,	88.170006,	101.040001,	0.000000,	0.000000,	0.000000,	101.040003,	0.000000,	0.000000
4,	6.930000,	188.389999,	0.000000,	0.000000,	0.000000,	188.390004,	0.000000,	0.000000
5,	9.400000,	202.080002,	0.000000,	0.000000,	0.000000,	202.079998,	0.000000,	0.000000
6,	12.370000,	217.899994,	0.000000,	0.000000,	0.000000,	217.899993,	0.000000,	0.000000
7,	14.750000,	233.199997,	0.000000,	0.000000,	0.000000,	233.200003,	0.000000,	0.000000
8,	16.250000,	246.799988,	0.000000,	0.000000,	0.000000,	246.799994,	0.000000,	0.000000
9,	17.760000,	259.529999,	0.000000,	0.000000,	0.000000,	259.530005,	0.000000,	0.000000
10,	20.010000,	270.339996,	0.000000,	0.000000,	0.000000,	270.340003,	0.000000,	0.000000
11,	21.830000,	284.110016,	0.000000,	0.000000,	0.000000,	284.110009,	0.000000,	0.000000
12,	22.750000,	297.900024,	0.000000,	0.000000,	0.000000,	297.900010,	0.000000,	0.000000
13,	24.110001,	309.679993,	0.000000,	0.000000,	0.000000,	309.680002,	0.000000,	0.000000
14,	25.180000,	321.449982,	0.000000,	0.000000,	0.000000,	321.449991,	0.000000,	0.000000
15,	27.510000,	330.029999,	0.000000,	0.000000,	0.000000,	330.029995,	0.000000,	0.000000
16,	29.130001,	339.839996,	0.000000,	0.000000,	0.000000,	339.839987,	0.000000,	0.000000
17,	31.110001,	347.300018,	0.000000,	0.000000,	0.000000,	347.300004,	0.000000,	0.000000
18,	32.389999,	354.720001,	0.000000,	0.000000,	0.000000,	354.720009,	0.000000,	0.000000
19,	33.060001,	364.339996,	0.000000,	0.000000,	0.000000,	364.340002,	0.000000,	0.000000
20,	34.559998,	373.220001,	0.000000,	0.000000,	0.000000,	373.220005,	0.000000,	0.000000
21,	34.500000,	382.440002,	0.000000,	0.000000,	0.000000,	382.439995,	0.000000,	0.000000
22,	35.920002,	390.989990,	0.000000,	0.000000,	0.000000,	390.990002,	0.000000,	0.000000
23,	38.000000,	398.900024,	0.000000,	0.000000,	0.000000,	398.900011,	0.000000,	0.000000
24,	38.389999,	407.709991,	0.000000,	0.000000,	0.000000,	407.710001,	0.000000,	0.000000
25,	39.790001,	416.579987,	0.000000,	0.000000,	0.000000,	416.579985,	0.000000,	0.000000
26,	40.989998,	423.859985,	0.000000,	0.000000,	0.000000,	423.859991,	0.000000,	0.000000
27,	41.910004,	431.880005,	0.000000,	0.000000,	0.000000,	431.880011,	0.000000,	0.000000
28,	43.430000,	439.769989,	0.000000,	0.000000,	0.000000,	439.770000,	0.000000,	0.000000
29,	44.940002,	448.950012,	0.000000,	0.000000,	0.000000,	448.949997,	0.000000,	0.000000
30,	44.699997,	456.149994,	0.000000,	0.000000,	0.000000,	456.149994,	0.000000,	0.000000
31,	46.230003,	465.190002,	0.000000,	0.000000,	0.000000,	465.189995,	0.000000,	0.000000
32,	47.389999,	471.529999,	0.000000,	0.000000,	0.000000,	471.529987,	0.000000,	0.000000
33,	49.720001,	478.989990,	0.000000,	0.000000,	0.000000,	478.990002,	0.000000,	0.000000
34,	50.379997,	487.309998,	0.000000,	0.000000,	0.000000,	487.310005,	0.000000,	0.000000
35,	51.560001,	495.459991,	0.000000,	0.000000,	0.000000,	495.459991,	0.000000,	0.000000
36,	52.570000,	504.320007,	0.000000,	0.000000,	0.000000,	504.320007,	0.000000,	0.000000
37,	54.160000,	513.369995,	0.000000,	0.000000,	0.000000,	513.369984,	0.000000,	0.000000
38,	55.879997,	519.989990,	0.000000,	0.000000,	0.000000,	519.989986,	0.000000,	0.000000
39,	55.680000,	529.849976,	0.000000,	0.000000,	0.000000,	529.849995,	0.000000,	0.000000
40,	56.750000,	539.130005,	0.000000,	0.000000,	0.000000,	539.130001,	0.000000,	0.000000
41,	58.190002,	548.029968,	0.000000,	0.000000,	0.000000,	548.029995,	0.000000,	0.000000
42,	58.230000,	556.309998,	0.000000,	0.000000,	0.000000,	556.310001,	0.000000,	0.000000
43,	60.689999,	563.309998,	0.000000,	0.000000,	0.000000,	563.310005,	0.000000,	0.000000
44,	61.809998,	572.619995,	0.000000,	0.000000,	0.000000,	572.620003,	0.000000,	0.000000
45,	62.339996,	581.590027,	0.000000,	0.000000,	0.000000,	581.590012,	0.000000,	0.000000
46,	63.030003,	589.529968,	0.000000,	0.000000,	0.000000,	589.529976,	0.000000,	0.000000
47,	64.720001,	599.010010,	0.000000,	0.000000,	0.000000,	599.009979,	0.000000,	0.000000
48,	66.220001,	608.619995,	0.000000,	0.000000,	0.000000,	608.619995,	0.000000,	0.000000
49,	68.690002,	615.369995,	0.000000,	0.000000,	0.000000,	615.369972,	0.000000,	0.000000
50,	70.339996,	622.880005,	0.000000,	0.000000,	0.000000,	622.879990,	0.000000,	0.000000
51,	71.459999,	632.719971,	0.000000,	0.000000,	0.000000,	632.720001,	0.000000,	0.000000
52,	74.070000,	640.059998,	0.000000,	0.000000,	0.000000,	640.059975,	0.000000,	0.000000
53,	74.010002,	649.059998,	0.000000,	0.000000,	0.000000,	649.059990,	0.000000,	0.000000
54,	75.339996,	661.460022,	0.000000,	0.000000,	0.000000,	661.460014,	0.000000,	0.000000
55,	76.139999,	671.270020,	0.000000,	0.000000,	0.000000,	671.269997,	0.000000,	0.000000
56,	77.370003,	681.549988,	0.000000,	0.000000,	0.000000,	681.549973,	0.000000,	0.000000
57,	79.270004,	691.240051,	0.000000,	0.000000,	0.000000,	691.240028,	0.000000,	0.000000
58,	81.279999,	699.469971,	0.000000,	0.000000,	0.000000,	699.469971,	0.000000,	0.000000
59,	82.309998,	708.130005,	0.000000,	0.000000,	0.000000,	708.129997,	0.000000,	0.000000
60,	83.729996,	719.569946,	0.000000,	0.000000,	0.000000,	719.569977,	0.000000,	0.000000
61,	85.959999,	729.890015,	0.000000,	0.000000,	0.000000,	729.889999,	0.000000,	0.000000
62,	87.610001,	738.960022,	0.000000,	0.000000,	0.000000,	738.960007,	0.000000,	0.000000
63,	87.779999,	750.969971,	0.000000,	0.000000,	0.000000,	750.970001,	0.000000,	0.000000
64,	89.550003,	763.329956,	0.000000,	0.000000,	0.000000,	763.329987,	0.000000,	0.000000
65,	90.970001,	777.849976,	0.000000,	0.000000,	0.000000,	777.850006,	0.000000,	0.000000
66,	92.900002,	790.140015,	0.000000,	0.000000,	0.000000,	790.139999,	0.000000,	0.000000
67,	94.589996,	799.260010,	0.000000,	0.000000,	0.000000,	799.260010,	0.000000,	0.000000
68,	96.509995,	811.270020,	0.000000,	0.000000,	0.000000,	811.270020,	0.000000,	0.000000
69,	99.110001,	824.619995,	0.000000,	0.000000,	0.000000,	824.619995,	0.000000,	0.000000
70,	101.870003,	835.209961,	0.000000,	0.000000,	0.000000,	835.209991,	0.000000,	0.000000
71,	102.479996,	848.539978,	0.000000,	0.000000,	0.000000,	848.539993,	0.000000,	0.000000
72,	102.559998,	861.760010,	0.000000,	0.000000,	0.000000,	861.759995,	0.000000,	0.000000
73,	104.149994,	874.459961,	0.000000,	0.000000,	0.000000,	874.459991,	0.000000,	0.000000
74,	107.779999,	887.290039,	0.000000,	0.000000,	0.000000,	887.290024,	0.000000,	0.000000
75,	110.760002,	898.550049,	0.000000,	0.000000,	0.000000,	898.550018,	0.000000,	0.000000
76,	112.169998,	910.119995,	0.000000,	0.000000,	0.000000,	910.119965,	0.000000,	0.000000
77,	113.990005,	925.040039,	0.000000,	0.000000,	0.000000,	925.040024,	0.000000,	0.000000
78,	117.059998,	938.640015,	0.000000,	0.000000,	0.000000,	938.639984,	0.000000,	0.000000
79,	117.149994,	952.070007,	0.000000,	0.000000,	0.000000,	952.069992,	0.000000,	0.000000
80,	119.180000,	966.089966,	0.000000,	0.000000,	0.000000,	966.089996,	0.000000,	0.000000
81,	121.580002,	978.619995,	0.000000,	0.000000,	0.000000,	978.619995,	0.000000,	0.000000
82,	123.540001,	991.090027,	0.000000,	0.000000,	0.000000,	991.090027,	0.000000,	0.000000
83,	127.760002,	1005.679932,	0.000000,	0.000000,	0.000000,	1005.679962,	0.000000,	0.000000
84,	129.270004,	1021.839966,	0.000000,	0.000000,	0.000000,	1021.839996,	0.000000,	0.000000
85,	131.649994,	1035.040039,	0.000000,	0.000000,	0.000000,	1035.040009,	0.000000,	0.000000
86,	133.649994,	1051.989990,	0.000000,	0.000000,	0.000000,	1051.989990,	0.000000,	0.000000
87,	136.630005,	1067.160034,	0.000000,	0.000000,	0.000000,	1067.160004,	0.000000,	0.000000
88,	139.649994,	1079.929932,	0.000000,	0.000000,	0.000000,	1079.929993,	0.000000,	0.000000
89,	141.929993,	1097.020020,	0.000000,	0.000000,	0.000000,	1097.019958,	0.000000,	0.000000
90,	144.440002,	1111.900024,	0.000000,	0.000000,	0.000000,	1111.899994,	0.000000,	0.000000
91,	149.339996,	1128.680054,	0.000000,	0.000000,	0.000000,	1128.680023,	0.000000,	0.000000
92,	152.869995,	1146.709961,	0.000000,	0.000000,	0.000000,	1146.709991,	0.000000,	0.000000
