Time,	LatentPB,	InfectiousPB,	InfectiousIdentifiedPB,	InfectiousUnderTreatmeanPB,	InfectiousNotCuredPB,	TotalInfectiousPB,	RecoveredLatentPB,	RelapsePB
0,	150.020004,	0.810000,	0.010000,	0.750000,	0.020000,	0.840000,	0.120000,	0.000000
1,	35.090000,	130.399994,	0.000000,	0.000000,	0.000000,	130.399994,	0.000000,	0.000000
2,	63.889999,	114.050003,	0.000000,	0.000000,	0.000000,	114.050003,	0.000000,	0.000000
3,	87.050003,	100.370003,	0.000000,	0.000000,	0.000000,	100.370003,	0.000000,	0.000000
4,	6.840000,	186.520004,	0.000000,	0.000000,	0.000000,	186.520004,	0.000000,	0.000000
5,	9.200000,	199.809998,	0.000000,	0.000000,	0.000000,	199.809998,	0.000000,	0.000000
6,	12.000000,	215.289993,	0.000000,	0.000000,	0.000000,	215.289993,	0.000000,	0.000000
7,	14.380000,	229.800003,	0.000000,	0.000000,	0.000000,	229.800003,	0.000000,	0.000000
8,	15.760000,	242.789993,	0.000000,	0.000000,	0.000000,	242.789993,	0.000000,	0.000000
9,	17.090000,	255.020004,	0.000000,	0.000000,	0.000000,	255.020004,	0.000000,	0.000000
10,	19.200001,	265.410004,	0.000000,	0.000000,	0.000000,	265.410004,	0.000000,	0.000000
11,	20.910000,	278.290009,	0.000000,	0.000000,	0.000000,	278.290009,	0.000000,	0.000000
12,	21.830000,	291.260010,	0.000000,	0.000000,	0.000000,	291.260010,	0.000000,	0.000000
13,	23.110001,	302.190002,	0.000000,	0.000000,	0.000000,	302.190002,	0.000000,	0.000000
14,	24.010000,	313.209991,	0.000000,	0.000000,	0.000000,	313.209991,	0.000000,	0.000000
15,	26.139999,	320.869995,	0.000000,	0.000000,	0.000000,	320.869995,	0.000000,	0.000000
16,	27.600000,	329.329987,	0.000000,	0.000000,	0.000000,	329.329987,	0.000000,	0.000000
17,	29.180000,	335.910004,	0.000000,	0.000000,	0.000000,	335.910004,	0.000000,	0.000000
18,	30.190001,	342.540009,	0.000000,	0.000000,	0.000000,	342.540009,	0.000000,	0.000000
19,	30.790001,	350.690002,	0.000000,	0.000000,	0.000000,	350.690002,	0.000000,	0.000000
20,	32.029999,	358.130005,	0.000000,	0.000000,	0.000000,	358.130005,	0.000000,	0.000000
21,	31.700001,	366.149994,	0.000000,	0.000000,	0.000000,	366.149994,	0.000000,	0.000000
22,	32.900002,	373.220001,	0.000000,	0.000000,	0.000000,	373.220001,	0.000000,	0.000000
23,	34.610001,	379.980011,	0.000000,	0.000000,	0.000000,	379.980011,	0.000000,	0.000000
24,	34.689999,	387.220001,	0.000000,	0.000000,	0.000000,	387.220001,	0.000000,	0.000000
