Time,	NewLatent,	NewInfectious,	NewInfectiousIdentified,	NewInfectiousUnderTreatmean,	NewInfectiousNotCured,	NewRecoveredLatent,	NewRelapse
0,	151.000000,	0.040000,	0.030000,	0.040000,	0.000000,	0.010000,	0.000000
1,	188.039993,	151.039993,	0.030000,	0.040000,	0.000000,	0.010000,	0.000000
2,	31.990000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
3,	27.270000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
4,	33.340000,	114.139999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
5,	44.389999,	41.289997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
6,	48.399998,	44.719997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
7,	50.209999,	47.070000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
8,	51.270000,	48.860001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
9,	52.630001,	50.289997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
10,	55.720001,	52.330002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
11,	58.200001,	55.230000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
12,	60.709999,	58.610001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
13,	61.610001,	58.889999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
14,	64.059998,	61.710003,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
15,	66.419998,	62.520000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
16,	67.259995,	64.239998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
17,	69.280006,	65.720001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
18,	70.279999,	67.409996,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
19,	72.070000,	69.750000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
20,	74.010002,	70.709999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
21,	74.480003,	72.839996,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
22,	77.599998,	74.349998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
23,	78.480003,	74.449997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
24,	79.160004,	77.120003,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
25,	80.989998,	77.579994,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
26,	82.360001,	78.889999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
27,	83.309998,	80.400002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
28,	85.440002,	81.940002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
29,	87.959999,	84.180000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
30,	87.260002,	85.300003,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
31,	91.209999,	87.669998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
32,	90.869995,	87.590004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
33,	94.020004,	89.500000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
34,	95.010002,	92.330002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
35,	97.650002,	94.050003,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
36,	98.250000,	94.760002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
37,	99.070000,	94.990005,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
38,	100.800003,	96.629997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
39,	103.020004,	100.750000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
40,	103.229996,	99.459999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
41,	106.699997,	102.720001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
42,	106.190002,	103.110001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
43,	108.739998,	103.510002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
44,	110.650002,	106.639999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
45,	112.029999,	108.260002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
46,	112.979996,	109.410004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
47,	114.800003,	109.960007,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
48,	118.119995,	113.720001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
49,	119.710007,	114.200005,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
50,	120.259995,	115.559998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
51,	120.939995,	116.660004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
52,	124.320000,	118.320000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
53,	122.779999,	119.669998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
54,	127.910004,	123.099998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
55,	128.110001,	124.079994,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
56,	130.989990,	126.139999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
57,	132.779999,	127.410004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
58,	133.809998,	128.260010,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
59,	134.720001,	130.010010,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
60,	137.819992,	132.540009,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
61,	139.569992,	133.589996,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
62,	141.410004,	135.630005,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
63,	142.289993,	138.019989,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
64,	145.910004,	140.230011,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
65,	150.449997,	144.860001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
66,	150.139999,	144.260010,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
67,	151.110001,	145.119995,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
68,	154.369995,	148.020004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
69,	158.110001,	151.309998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
70,	159.770004,	152.809998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
71,	160.339996,	155.179993,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
72,	162.630005,	157.510010,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
73,	166.410004,	159.799988,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
74,	169.440002,	161.260010,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
75,	171.040009,	163.320007,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
76,	172.470001,	166.160004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
77,	174.179993,	167.470001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
78,	179.580002,	171.309998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
79,	179.880005,	174.850006,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
80,	182.349991,	174.990005,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
81,	183.559998,	176.059998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
82,	185.990005,	178.669998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
83,	191.600006,	181.920013,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
84,	193.330002,	185.800003,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
85,	196.750000,	188.960007,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
86,	198.960007,	191.130005,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
87,	200.239990,	191.500000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
88,	203.690002,	194.169998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
89,	211.319992,	202.740005,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
90,	210.529999,	201.730011,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
91,	216.149994,	204.529999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
92,	217.369995,	207.399994,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
93,	218.389999,	209.790009,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
94,	221.949997,	213.880005,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
95,	226.990005,	217.339996,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
96,	231.589996,	222.880005,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
97,	232.419998,	222.169998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
98,	236.160004,	226.350006,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
99,	240.739990,	227.230011,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
100,	243.960007,	232.859985,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
101,	246.320007,	235.220001,	118.339996,	19.629999,	0.000000,	0.000000,	0.000000
102,	234.709991,	234.290009,	116.899994,	52.570000,	0.000000,	0.000000,	0.000000
103,	225.859985,	229.290009,	115.200005,	80.259995,	0.000000,	0.000000,	0.000000
104,	209.010010,	219.610001,	111.869995,	93.690002,	0.000000,	0.000000,	0.000000
105,	195.290009,	198.809998,	99.110001,	88.650002,	0.000000,	0.000000,	0.000000
106,	181.029999,	184.610001,	92.680000,	82.220001,	0.000000,	0.000000,	0.000000
107,	167.369995,	169.739990,	84.760002,	76.550003,	0.000000,	0.000000,	0.000000
108,	155.419998,	157.300003,	79.290001,	68.599998,	0.000000,	0.000000,	0.000000
109,	146.589996,	150.559998,	75.010002,	64.520004,	0.000000,	0.000000,	0.000000
110,	136.339996,	139.399994,	69.720001,	59.379997,	0.000000,	0.000000,	0.000000
111,	126.940002,	128.630005,	64.239998,	55.750000,	0.000000,	0.000000,	0.000000
112,	116.649994,	119.440002,	59.339996,	52.639999,	0.000000,	0.000000,	0.000000
113,	108.550003,	112.029999,	56.910000,	51.040001,	0.580000,	10.850000,	0.000000
114,	104.160004,	105.250000,	58.480000,	57.820000,	0.930000,	29.189999,	0.000000
115,	97.139999,	97.360001,	60.180000,	68.419998,	1.370000,	44.680000,	0.000000
116,	98.160004,	96.440002,	65.080002,	80.479996,	1.930000,	52.650002,	0.000000
117,	95.770004,	95.639999,	67.250000,	88.740005,	1.770000,	50.559998,	0.000000
118,	94.360001,	94.009995,	67.379997,	92.159996,	1.450000,	46.259998,	0.000000
119,	93.300003,	91.330002,	66.339996,	92.379997,	1.580000,	41.650002,	0.000000
120,	90.739998,	89.509995,	62.799999,	89.099998,	1.660000,	36.860001,	0.000000
121,	88.160004,	85.910004,	60.409996,	84.770004,	1.310000,	34.619999,	0.000000
122,	85.750000,	85.050003,	59.639999,	81.489998,	1.420000,	31.880001,	0.000000
123,	83.539993,	82.750000,	56.360001,	75.029999,	1.070000,	29.990000,	0.000000
124,	80.650002,	79.529999,	54.779999,	73.479996,	0.880000,	28.090000,	0.000000
125,	77.240005,	75.709999,	52.130001,	69.889999,	0.890000,	26.380001,	0.000000
126,	72.149994,	73.300003,	48.500000,	66.400002,	0.960000,	24.410000,	0.000000
127,	71.830002,	71.449997,	48.500000,	63.419998,	0.900000,	23.809999,	0.000000
128,	69.959999,	69.059998,	46.760002,	60.500000,	0.850000,	25.000000,	0.000000
129,	67.410004,	66.430000,	45.150002,	61.119999,	0.930000,	26.029999,	0.000000
130,	65.970001,	65.290001,	45.099998,	59.420002,	0.990000,	27.049999,	0.000000
131,	63.570000,	63.070000,	44.220001,	59.519997,	0.990000,	27.980000,	0.000000
132,	60.919998,	60.430000,	43.290001,	59.820000,	0.790000,	27.639999,	0.000000
133,	61.160000,	60.699997,	42.779999,	57.700001,	0.940000,	26.040001,	0.000000
134,	60.779999,	58.910000,	40.379997,	56.620003,	0.940000,	25.389999,	0.000000
135,	59.059998,	58.389999,	40.290001,	54.279999,	1.090000,	23.520000,	0.000000
136,	55.910000,	55.279999,	38.900002,	54.020000,	0.800000,	22.950001,	0.000000
137,	55.099998,	54.419998,	38.029999,	51.580002,	0.800000,	21.849998,	0.000000
138,	54.080002,	52.600002,	36.820000,	49.889999,	0.780000,	21.549999,	0.000000
139,	53.040001,	53.009998,	36.639999,	47.869999,	0.870000,	19.870001,	0.000000
140,	52.070000,	49.959999,	34.639999,	46.959999,	0.650000,	19.279999,	0.000000
141,	50.650002,	50.250000,	34.860001,	45.169998,	0.740000,	18.650000,	0.000000
142,	50.730003,	49.070000,	33.779999,	44.610001,	0.700000,	18.529999,	0.000000
143,	47.599998,	47.779999,	32.810001,	43.870003,	0.970000,	17.330000,	0.000000
144,	46.660000,	46.169998,	31.309999,	42.720001,	0.710000,	17.070000,	0.000000
145,	45.919998,	44.990002,	31.060001,	40.580002,	0.630000,	17.459999,	0.000000
146,	44.920002,	43.950001,	30.000000,	39.419998,	0.670000,	17.369999,	0.000000
147,	44.000000,	43.010002,	29.889999,	39.510002,	0.640000,	15.700000,	0.000000
148,	42.779999,	42.240002,	28.169998,	38.440002,	0.580000,	16.209999,	0.000000
149,	41.639999,	41.470001,	28.090000,	36.380001,	0.560000,	15.310000,	0.000000
150,	41.150002,	40.790001,	27.430000,	36.119999,	0.760000,	14.860001,	0.000000
151,	39.299999,	38.779999,	25.950001,	35.369999,	0.460000,	14.740000,	0.000000
152,	39.330002,	38.599998,	25.980000,	34.649998,	0.440000,	14.080000,	0.000000
153,	38.790001,	37.990002,	25.820000,	33.439999,	0.570000,	13.420000,	0.000000
154,	38.720001,	37.279999,	24.830002,	32.560001,	0.620000,	13.470000,	0.000000
155,	36.139999,	35.820000,	24.440001,	31.760002,	0.470000,	13.370000,	0.000000
156,	36.970001,	36.130001,	24.820000,	31.510000,	0.490000,	12.980000,	0.000000
157,	36.610001,	35.720001,	23.730000,	30.610001,	0.440000,	12.360000,	0.000000
158,	37.029999,	36.370003,	23.459999,	30.079998,	0.590000,	11.600000,	0.000000
159,	34.590000,	34.649998,	23.150000,	29.430000,	0.600000,	12.140000,	0.000000
160,	33.730000,	33.209999,	22.099998,	28.130001,	0.550000,	11.639999,	0.000000
161,	33.320000,	31.820000,	21.080000,	27.889999,	0.500000,	11.110000,	0.000000
162,	32.820000,	31.740000,	20.910000,	27.689999,	0.570000,	10.880000,	0.000000
163,	33.330002,	33.060001,	21.920000,	26.629999,	0.550000,	10.960000,	0.000000
164,	31.070000,	30.969999,	20.790001,	26.090000,	0.440000,	10.590000,	0.000000
