Time,	NewLatentPB,	NewInfectiousPB,	NewInfectiousIdentifiedPB,	NewInfectiousUnderTreatmeanPB,	NewInfectiousNotCuredPB,	NewRecoveredLatentPB,	NewRelapsePB
0,	150.000000,	0.010000,	0.000000,	0.010000,	0.000000,	0.000000,	0.000000
1,	186.649994,	150.009995,	0.000000,	0.010000,	0.000000,	0.000000,	0.000000
2,	31.559999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
3,	26.900000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
4,	32.910000,	112.680000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
5,	43.590000,	40.619999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
6,	47.419998,	43.919998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
7,	49.009998,	45.880001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
8,	49.900002,	47.630001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
9,	51.250000,	49.099998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
10,	54.250000,	51.020000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
11,	56.410000,	53.599998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
12,	59.020000,	56.930000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
13,	59.619999,	57.020000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
14,	61.770000,	59.650002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
15,	63.669998,	60.040001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
16,	64.199997,	61.389999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
17,	66.050003,	62.980000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
18,	66.930000,	64.389999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
19,	68.250000,	66.169998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
20,	69.959999,	67.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
21,	69.980003,	68.739998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
22,	72.750000,	69.820000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
23,	73.550003,	70.099998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
24,	74.040001,	72.410004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
25,	75.129997,	72.199997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
26,	76.830002,	73.389999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
27,	77.110001,	74.760002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
28,	78.279999,	75.400002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
29,	80.949997,	77.889999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
30,	79.320000,	78.139999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
31,	82.900002,	80.040001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
32,	82.199997,	79.760002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
33,	84.970001,	81.099998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
34,	85.260002,	83.160004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
35,	87.279999,	84.709999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
36,	87.620003,	84.959999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
37,	88.459999,	84.800003,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
38,	89.620003,	86.269997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
39,	90.790001,	89.419998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
40,	90.739998,	88.010002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
41,	93.250000,	90.500000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
42,	92.250000,	90.269997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
43,	94.449997,	90.650002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
44,	95.639999,	92.760002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
45,	96.080002,	93.410004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
46,	97.209999,	94.080002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
47,	97.760002,	94.870003,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
48,	100.139999,	97.300003,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
49,	100.870003,	97.160004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
50,	100.779999,	97.529999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
51,	100.809998,	98.410004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
52,	103.139999,	98.820000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
53,	102.519997,	100.199997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
54,	104.790001,	101.529999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
55,	105.889999,	103.519997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
56,	105.989998,	103.230003,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
57,	107.940002,	104.639999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
58,	107.620003,	103.940002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
59,	107.459999,	103.980003,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
60,	110.379997,	107.080002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
61,	110.839996,	106.709999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
62,	110.919998,	108.570000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
63,	111.070000,	109.629997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
64,	115.040001,	111.410004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
65,	117.169998,	113.769997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
66,	116.180000,	112.580002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
67,	116.239998,	112.660004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
68,	118.570000,	115.070000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
69,	121.110001,	116.650002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
70,	119.860001,	116.949997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
71,	120.529999,	117.779999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
72,	121.860001,	118.910004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
73,	123.529999,	119.769997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
74,	126.080002,	121.150002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
75,	126.500000,	122.320000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
76,	125.169998,	122.209999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
77,	126.360001,	123.139999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
78,	129.669998,	125.260002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
79,	130.710007,	128.330002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
80,	130.619995,	126.610001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
81,	130.720001,	126.959999,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
82,	130.800003,	127.400002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
83,	134.990005,	129.740005,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
84,	135.029999,	131.309998,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
85,	136.500000,	132.990005,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
86,	135.520004,	132.479996,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
87,	136.229996,	132.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
88,	136.919998,	132.190002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
89,	141.509995,	137.770004,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
90,	140.630005,	136.830002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
91,	143.169998,	138.330002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
92,	141.240005,	137.449997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
93,	142.779999,	138.990005,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
94,	143.979996,	140.220001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
95,	144.690002,	141.600006,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
96,	148.139999,	145.009995,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
97,	147.309998,	143.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
98,	147.869995,	144.080002,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
99,	150.279999,	143.710007,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
100,	151.320007,	147.229996,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
101,	151.809998,	146.699997,	73.830002,	12.440000,	0.000000,	0.000000,	0.000000
102,	143.970001,	145.100006,	72.019997,	32.799999,	0.000000,	0.000000,	0.000000
103,	138.179993,	141.309998,	70.230003,	49.669998,	0.000000,	0.000000,	0.000000
104,	127.430000,	133.220001,	67.860001,	56.180000,	0.000000,	0.000000,	0.000000
105,	119.980003,	121.510002,	60.590000,	54.340000,	0.000000,	0.000000,	0.000000
106,	108.970001,	110.739998,	55.779999,	49.389999,	0.000000,	0.000000,	0.000000
107,	101.220001,	103.099998,	51.790001,	46.490002,	0.000000,	0.000000,	0.000000
108,	92.779999,	93.690002,	47.060001,	41.099998,	0.000000,	0.000000,	0.000000
109,	85.309998,	87.519997,	43.840000,	38.080002,	0.000000,	0.000000,	0.000000
110,	78.639999,	80.739998,	40.560001,	34.779999,	0.000000,	0.000000,	0.000000
111,	72.570000,	73.599998,	36.759998,	32.230000,	0.000000,	0.000000,	0.000000
112,	65.809998,	67.699997,	33.599998,	30.520000,	0.000000,	0.000000,	0.000000
113,	60.240002,	62.639999,	31.230000,	29.790001,	0.250000,	6.870000,	0.000000
114,	56.470001,	57.090000,	31.379999,	36.740002,	0.420000,	18.320000,	0.000000
115,	51.610001,	52.380001,	31.410000,	48.009998,	0.570000,	27.379999,	0.000000
116,	50.220001,	49.599998,	32.540001,	58.419998,	0.950000,	31.219999,	0.000000
117,	49.029999,	49.540001,	34.470001,	64.260002,	0.870000,	30.889999,	0.000000
118,	47.540001,	47.919998,	35.570000,	66.589996,	0.610000,	27.629999,	0.000000
119,	46.270000,	46.000000,	34.880001,	67.570000,	0.600000,	25.570000,	0.000000
120,	44.349998,	44.389999,	32.910000,	64.279999,	0.790000,	22.030001,	0.000000
121,	42.750000,	41.939999,	32.029999,	61.810001,	0.720000,	20.510000,	0.000000
122,	41.340000,	41.180000,	30.459999,	57.889999,	0.570000,	18.330000,	0.000000
123,	39.439999,	39.270000,	28.600000,	53.709999,	0.440000,	17.490000,	0.000000
124,	36.450001,	36.580002,	27.110001,	51.139999,	0.370000,	16.040001,	0.000000
125,	35.330002,	35.230000,	25.540001,	48.450001,	0.410000,	14.970000,	0.000000
126,	32.230000,	33.009998,	23.209999,	45.320000,	0.370000,	13.230000,	0.000000
127,	31.010000,	31.450001,	22.820000,	43.230000,	0.370000,	13.280000,	0.000000
128,	30.120001,	30.129999,	21.490000,	40.590000,	0.350000,	13.030000,	0.000000
129,	28.760000,	27.700001,	20.209999,	41.439999,	0.310000,	13.190000,	0.000000
130,	26.250000,	26.209999,	19.280001,	39.720001,	0.290000,	13.740000,	0.000000
131,	25.120001,	25.680000,	19.709999,	40.119999,	0.360000,	14.580000,	0.000000
132,	23.510000,	23.490000,	18.290001,	40.419998,	0.220000,	14.500000,	0.000000
133,	23.110001,	23.440001,	17.840000,	38.380001,	0.360000,	13.940000,	0.000000
134,	22.740000,	22.049999,	16.549999,	37.310001,	0.370000,	13.040000,	0.000000
135,	21.690001,	21.940001,	16.350000,	35.590000,	0.380000,	12.490000,	0.000000
136,	20.459999,	20.240000,	15.900000,	35.180000,	0.210000,	11.380000,	0.000000
137,	19.340000,	19.260000,	15.120000,	33.680000,	0.300000,	10.620000,	0.000000
138,	18.240000,	17.700001,	13.510000,	32.139999,	0.300000,	10.480000,	0.000000
139,	17.840000,	18.590000,	14.120000,	30.070000,	0.250000,	9.850000,	0.000000
140,	17.090000,	16.709999,	12.870000,	29.820000,	0.210000,	9.030000,	0.000000
141,	16.070000,	16.240000,	12.760000,	28.440001,	0.190000,	8.780000,	0.000000
142,	15.240000,	14.950000,	11.470000,	27.670000,	0.180000,	8.420000,	0.000000
143,	14.250000,	14.280000,	11.380000,	26.600000,	0.300000,	7.590000,	0.000000
144,	13.050000,	13.010000,	10.240000,	25.620001,	0.200000,	7.350000,	0.000000
145,	12.800000,	12.860000,	10.040000,	24.450001,	0.200000,	7.640000,	0.000000
146,	12.470000,	12.560000,	9.360000,	23.680000,	0.220000,	6.990000,	0.000000
147,	11.440000,	11.400000,	8.880000,	22.850000,	0.180000,	6.130000,	0.000000
148,	11.270000,	11.380000,	8.440000,	22.200001,	0.130000,	6.210000,	0.000000
149,	10.620000,	10.700000,	8.150000,	21.200001,	0.140000,	6.000000,	0.000000
150,	10.010000,	9.850000,	7.890000,	20.389999,	0.190000,	5.980000,	0.000000
151,	9.130000,	9.140000,	6.960000,	19.920000,	0.110000,	5.340000,	0.000000
152,	9.460000,	9.650000,	7.630000,	19.959999,	0.140000,	5.240000,	0.000000
153,	8.850000,	8.870000,	7.200000,	19.049999,	0.210000,	5.070000,	0.000000
154,	8.710000,	8.500000,	6.540000,	18.110001,	0.110000,	4.870000,	0.000000
155,	7.780000,	7.890000,	6.280000,	17.700001,	0.080000,	4.450000,	0.000000
156,	7.140000,	7.190000,	5.880000,	17.750000,	0.090000,	4.330000,	0.000000
