Time,	LatentMB,	InfectiousMB,	InfectiousIdentifiedMB,	InfectiousUnderTreatmeanMB,	InfectiousNotCuredMB,	TotalInfectiousMB,	RecoveredLatentMB,	RelapseMB
0,	11.680000,	62.720001,	13.230000,	84.660004,	1.250000,	77.199997,	3.760000,	0.000000
1,	0.380000,	0.810000,	0.000000,	0.000000,	0.000000,	0.810000,	0.000000,	0.000000
2,	0.790000,	0.730000,	0.000000,	0.000000,	0.000000,	0.730000,	0.000000,	0.000000
3,	1.120000,	0.670000,	0.000000,	0.000000,	0.000000,	0.670000,	0.000000,	0.000000
4,	0.090000,	1.870000,	0.000000,	0.000000,	0.000000,	1.870000,	0.000000,	0.000000
5,	0.200000,	2.270000,	0.000000,	0.000000,	0.000000,	2.270000,	0.000000,	0.000000
6,	0.370000,	2.610000,	0.000000,	0.000000,	0.000000,	2.610000,	0.000000,	0.000000
7,	0.370000,	3.400000,	0.000000,	0.000000,	0.000000,	3.400000,	0.000000,	0.000000
8,	0.490000,	4.010000,	0.000000,	0.000000,	0.000000,	4.010000,	0.000000,	0.000000
9,	0.670000,	4.510000,	0.000000,	0.000000,	0.000000,	4.510000,	0.000000,	0.000000
10,	0.810000,	4.930000,	0.000000,	0.000000,	0.000000,	4.930000,	0.000000,	0.000000
11,	0.920000,	5.820000,	0.000000,	0.000000,	0.000000,	5.820000,	0.000000,	0.000000
12,	0.920000,	6.640000,	0.000000,	0.000000,	0.000000,	6.640000,	0.000000,	0.000000
13,	1.000000,	7.490000,	0.000000,	0.000000,	0.000000,	7.490000,	0.000000,	0.000000
14,	1.170000,	8.240000,	0.000000,	0.000000,	0.000000,	8.240000,	0.000000,	0.000000
15,	1.370000,	9.160000,	0.000000,	0.000000,	0.000000,	9.160000,	0.000000,	0.000000
16,	1.530000,	10.510000,	0.000000,	0.000000,	0.000000,	10.510000,	0.000000,	0.000000
17,	1.930000,	11.390000,	0.000000,	0.000000,	0.000000,	11.390000,	0.000000,	0.000000
18,	2.200000,	12.180000,	0.000000,	0.000000,	0.000000,	12.180000,	0.000000,	0.000000
19,	2.270000,	13.650000,	0.000000,	0.000000,	0.000000,	13.650000,	0.000000,	0.000000
20,	2.530000,	15.090000,	0.000000,	0.000000,	0.000000,	15.090000,	0.000000,	0.000000
21,	2.800000,	16.290001,	0.000000,	0.000000,	0.000000,	16.290001,	0.000000,	0.000000
22,	3.020000,	17.770000,	0.000000,	0.000000,	0.000000,	17.770000,	0.000000,	0.000000
23,	3.390000,	18.920000,	0.000000,	0.000000,	0.000000,	18.920000,	0.000000,	0.000000
24,	3.700000,	20.490000,	0.000000,	0.000000,	0.000000,	20.490000,	0.000000,	0.000000
25,	3.980000,	21.969999,	0.000000,	0.000000,	0.000000,	21.969999,	0.000000,	0.000000
26,	3.800000,	23.620001,	0.000000,	0.000000,	0.000000,	23.620001,	0.000000,	0.000000
27,	4.170000,	25.370001,	0.000000,	0.000000,	0.000000,	25.370001,	0.000000,	0.000000
28,	4.600000,	27.549999,	0.000000,	0.000000,	0.000000,	27.549999,	0.000000,	0.000000
29,	5.130000,	29.110001,	0.000000,	0.000000,	0.000000,	29.110001,	0.000000,	0.000000
30,	5.670000,	31.250000,	0.000000,	0.000000,	0.000000,	31.250000,	0.000000,	0.000000
31,	6.080000,	33.320000,	0.000000,	0.000000,	0.000000,	33.320000,	0.000000,	0.000000
32,	6.690000,	35.200001,	0.000000,	0.000000,	0.000000,	35.200001,	0.000000,	0.000000
33,	7.090000,	37.240002,	0.000000,	0.000000,	0.000000,	37.240002,	0.000000,	0.000000
34,	7.370000,	39.709999,	0.000000,	0.000000,	0.000000,	39.709999,	0.000000,	0.000000
35,	8.020000,	41.970001,	0.000000,	0.000000,	0.000000,	41.970001,	0.000000,	0.000000
36,	8.410000,	44.279999,	0.000000,	0.000000,	0.000000,	44.279999,	0.000000,	0.000000
37,	8.500000,	46.759998,	0.000000,	0.000000,	0.000000,	46.759998,	0.000000,	0.000000
38,	8.960000,	48.660000,	0.000000,	0.000000,	0.000000,	48.660000,	0.000000,	0.000000
39,	9.470000,	51.730000,	0.000000,	0.000000,	0.000000,	51.730000,	0.000000,	0.000000
40,	10.030000,	54.189999,	0.000000,	0.000000,	0.000000,	54.189999,	0.000000,	0.000000
41,	10.790000,	57.189999,	0.000000,	0.000000,	0.000000,	57.189999,	0.000000,	0.000000
42,	11.090000,	60.119999,	0.000000,	0.000000,	0.000000,	60.119999,	0.000000,	0.000000
43,	11.980000,	62.930000,	0.000000,	0.000000,	0.000000,	62.930000,	0.000000,	0.000000
44,	12.550000,	65.900002,	0.000000,	0.000000,	0.000000,	65.900002,	0.000000,	0.000000
45,	12.990000,	69.389999,	0.000000,	0.000000,	0.000000,	69.389999,	0.000000,	0.000000
46,	12.810000,	72.989998,	0.000000,	0.000000,	0.000000,	72.989998,	0.000000,	0.000000
47,	14.080000,	75.660004,	0.000000,	0.000000,	0.000000,	75.660004,	0.000000,	0.000000
48,	15.050000,	78.809998,	0.000000,	0.000000,	0.000000,	78.809998,	0.000000,	0.000000
49,	16.200001,	82.650002,	0.000000,	0.000000,	0.000000,	82.650002,	0.000000,	0.000000
50,	16.860001,	86.330002,	0.000000,	0.000000,	0.000000,	86.330002,	0.000000,	0.000000
51,	17.990000,	89.910004,	0.000000,	0.000000,	0.000000,	89.910004,	0.000000,	0.000000
52,	18.910000,	93.459999,	0.000000,	0.000000,	0.000000,	93.459999,	0.000000,	0.000000
53,	18.920000,	97.260002,	0.000000,	0.000000,	0.000000,	97.260002,	0.000000,	0.000000
54,	19.670000,	102.820000,	0.000000,	0.000000,	0.000000,	102.820000,	0.000000,	0.000000
55,	20.459999,	106.150002,	0.000000,	0.000000,	0.000000,	106.150002,	0.000000,	0.000000
56,	21.670000,	111.139999,	0.000000,	0.000000,	0.000000,	111.139999,	0.000000,	0.000000
