Time,	InfectiousP,	InfectiousIdentifiedP,	InfectiousUnderTreatmeanP,	InfectiousNotCuredP
0,	1.335000,	0.770000,	5.605000,	0.070000
1,	130.630005,	0.000000,	0.000000,	0.000000
2,	114.555000,	0.000000,	0.000000,	0.000000
3,	100.949997,	0.000000,	0.000000,	0.000000
4,	194.824997,	0.000000,	0.000000,	0.000000
5,	209.479996,	0.000000,	0.000000,	0.000000
6,	226.494995,	0.000000,	0.000000,	0.000000
7,	241.440002,	0.000000,	0.000000,	0.000000
8,	258.184998,	0.000000,	0.000000,	0.000000
9,	274.290009,	0.000000,	0.000000,	0.000000
10,	289.600006,	0.000000,	0.000000,	0.000000
11,	304.795013,	0.000000,	0.000000,	0.000000
12,	318.970001,	0.000000,	0.000000,	0.000000
13,	333.174988,	0.000000,	0.000000,	0.000000
14,	345.929993,	0.000000,	0.000000,	0.000000
15,	356.019989,	0.000000,	0.000000,	0.000000
16,	366.815002,	0.000000,	0.000000,	0.000000
17,	376.804993,	0.000000,	0.000000,	0.000000
18,	388.109985,	0.000000,	0.000000,	0.000000
19,	396.880005,	0.000000,	0.000000,	0.000000
20,	406.174988,	0.000000,	0.000000,	0.000000
21,	417.660004,	0.000000,	0.000000,	0.000000
22,	426.970001,	0.000000,	0.000000,	0.000000
23,	437.899994,	0.000000,	0.000000,	0.000000
24,	446.910004,	0.000000,	0.000000,	0.000000
25,	455.010010,	0.000000,	0.000000,	0.000000
26,	464.964996,	0.000000,	0.000000,	0.000000
27,	473.834991,	0.000000,	0.000000,	0.000000
28,	484.605011,	0.000000,	0.000000,	0.000000
29,	495.390015,	0.000000,	0.000000,	0.000000
30,	505.744995,	0.000000,	0.000000,	0.000000
31,	515.835022,	0.000000,	0.000000,	0.000000
32,	525.934998,	0.000000,	0.000000,	0.000000
33,	533.585022,	0.000000,	0.000000,	0.000000
34,	543.760010,	0.000000,	0.000000,	0.000000
35,	554.505005,	0.000000,	0.000000,	0.000000
36,	565.025024,	0.000000,	0.000000,	0.000000
37,	575.000000,	0.000000,	0.000000,	0.000000
38,	584.674988,	0.000000,	0.000000,	0.000000
39,	594.119995,	0.000000,	0.000000,	0.000000
40,	604.130005,	0.000000,	0.000000,	0.000000
