Time,	NewLatentM,	NewTotalInfectiousM,	NewRecoveredM,	NewRelapseM
0,	1.005000,	0.025000,	0.005000,	0.000000
1,	1.455000,	1.025000,	0.005000,	0.000000
2,	0.485000,	0.000000,	0.000000,	0.000000
3,	0.325000,	0.000000,	0.000000,	0.000000
4,	0.610000,	1.660000,	0.000000,	0.000000
5,	1.005000,	0.860000,	0.000000,	0.000000
6,	1.120000,	1.025000,	0.000000,	0.000000
7,	1.250000,	1.080000,	0.000000,	0.000000
8,	1.470000,	1.360000,	0.000000,	0.000000
9,	1.635000,	1.475000,	0.000000,	0.000000
10,	2.085000,	1.825000,	0.000000,	0.000000
11,	2.185000,	1.880000,	0.000000,	0.000000
12,	2.530000,	2.260000,	0.000000,	0.000000
13,	2.795000,	2.685000,	0.000000,	0.000000
14,	3.120000,	2.960000,	0.000000,	0.000000
15,	3.505000,	3.130000,	0.000000,	0.000000
16,	3.935000,	3.460000,	0.000000,	0.000000
17,	4.225000,	3.745000,	0.000000,	0.000000
18,	4.720000,	4.155000,	0.000000,	0.000000
19,	4.880000,	4.520000,	0.000000,	0.000000
20,	5.225000,	4.870000,	0.000000,	0.000000
21,	6.155000,	5.540000,	0.000000,	0.000000
22,	6.270000,	5.635000,	0.000000,	0.000000
23,	6.370000,	5.840000,	0.000000,	0.000000
24,	7.085000,	6.415000,	0.000000,	0.000000
25,	7.780000,	7.210000,	0.000000,	0.000000
26,	8.570000,	7.820000,	0.000000,	0.000000
27,	8.805000,	8.110000,	0.000000,	0.000000
28,	9.320000,	8.490000,	0.000000,	0.000000
29,	10.120000,	9.115000,	0.000000,	0.000000
30,	10.705000,	9.880000,	0.000000,	0.000000
31,	11.200000,	10.410000,	0.000000,	0.000000
32,	12.115000,	10.925000,	0.000000,	0.000000
33,	12.370000,	11.065000,	0.000000,	0.000000
34,	13.445000,	12.540000,	0.000000,	0.000000
35,	13.740000,	12.540000,	0.000000,	0.000000
36,	14.685000,	13.320000,	0.000000,	0.000000
37,	15.450000,	14.055000,	0.000000,	0.000000
38,	16.065001,	15.030000,	0.000000,	0.000000
39,	17.180000,	16.035000,	0.000000,	0.000000
40,	18.014999,	17.030001,	0.000000,	0.000000
41,	18.700001,	17.090000,	0.000000,	0.000000
42,	19.170000,	17.510000,	0.000000,	0.000000
43,	20.705000,	18.670000,	0.000000,	0.000000
44,	21.580000,	19.715000,	0.000000,	0.000000
45,	22.305000,	20.705000,	0.000000,	0.000000
46,	23.889999,	21.965000,	0.000000,	0.000000
47,	25.520000,	23.025000,	0.000000,	0.000000
48,	26.120001,	23.905001,	0.000000,	0.000000
49,	26.764999,	24.455000,	0.000000,	0.000000
50,	27.850000,	26.035000,	0.000000,	0.000000
51,	29.400000,	27.375000,	0.000000,	0.000000
52,	29.980000,	28.025000,	0.000000,	0.000000
53,	32.299999,	29.450001,	0.000000,	0.000000
54,	32.799999,	30.040001,	0.000000,	0.000000
55,	33.720001,	30.705000,	0.000000,	0.000000
56,	34.814999,	32.095001,	0.000000,	0.000000
57,	37.009998,	34.189999,	0.000000,	0.000000
58,	38.715000,	35.500000,	0.000000,	0.000000
59,	39.840000,	37.355000,	0.000000,	0.000000
60,	41.220001,	37.875000,	0.000000,	0.000000
61,	42.955002,	40.259998,	0.000000,	0.000000
62,	44.544998,	40.509998,	0.000000,	0.000000
63,	47.134998,	42.794998,	0.000000,	0.000000
64,	48.514999,	44.375000,	0.000000,	0.000000
65,	49.904999,	46.750000,	0.000000,	0.000000
66,	51.310001,	47.770000,	0.000000,	0.000000
67,	52.790001,	48.990002,	0.000000,	0.000000
68,	55.325001,	50.535000,	0.000000,	0.000000
69,	57.189999,	52.945000,	0.000000,	0.000000
70,	59.790001,	54.724998,	0.000000,	0.000000
71,	61.750000,	56.169998,	0.000000,	0.000000
72,	62.634998,	58.285000,	0.000000,	0.000000
73,	65.250000,	60.180000,	0.000000,	0.000000
74,	68.010002,	63.240002,	0.000000,	0.000000
75,	70.309998,	64.500000,	0.000000,	0.000000
76,	72.980003,	67.699997,	0.000000,	0.000000
77,	75.425003,	69.019997,	0.000000,	0.000000
78,	77.610001,	71.320000,	0.000000,	0.000000
79,	80.974998,	74.415001,	0.000000,	0.000000
80,	82.120003,	77.089996,	0.000000,	0.000000
81,	84.705002,	78.650002,	0.000000,	0.000000
82,	88.949997,	81.970001,	0.000000,	0.000000
83,	91.110001,	83.709999,	0.000000,	0.000000
84,	94.709999,	87.065002,	0.000000,	0.000000
85,	97.410004,	90.580002,	0.000000,	0.000000
86,	100.415001,	93.415001,	0.000000,	0.000000
87,	104.580002,	97.114998,	0.000000,	0.000000
88,	107.059998,	97.820000,	0.000000,	0.000000
89,	110.945000,	101.635002,	0.000000,	0.000000
90,	114.925003,	106.425003,	0.000000,	0.000000
91,	117.790001,	109.775002,	0.000000,	0.000000
92,	123.040001,	113.449997,	0.000000,	0.000000
93,	127.230003,	115.445000,	0.000000,	0.000000
94,	130.854996,	121.160004,	0.000000,	0.000000
95,	134.654999,	124.480003,	0.000000,	0.000000
96,	138.304993,	127.949997,	0.000000,	0.000000
97,	143.425003,	132.529999,	0.000000,	0.000000
98,	147.600006,	136.139999,	0.000000,	0.000000
99,	153.330002,	141.539993,	0.000000,	0.000000
100,	157.000000,	146.639999,	0.000000,	0.000000
101,	162.315002,	292.410004,	0.000000,	0.000000
102,	152.460007,	287.845001,	0.000000,	0.000000
103,	137.884995,	280.700012,	0.000000,	0.000000
104,	121.135002,	266.709991,	0.000000,	0.000000
105,	105.114998,	224.924988,	0.000000,	0.000000
106,	90.224998,	197.824997,	0.000000,	0.000000
107,	77.555000,	169.699997,	0.000000,	0.000000
108,	68.305000,	150.815002,	0.000000,	0.000000
