Time,	NewLatentTotal,	NewTotalInfectiousTotal,	NewRecoveredTotal,	NewRelapseTotal
0,	151.005005,	0.025000,	0.005000,	0.000000
1,	190.350006,	151.025000,	0.005000,	0.000000
2,	33.340000,	0.000000,	0.000000,	0.000000
3,	29.350000,	0.000000,	0.000000,	0.000000
4,	37.105000,	122.890003,	0.000000,	0.000000
5,	49.230000,	45.555000,	0.000000,	0.000000
6,	51.899998,	48.010001,	0.000000,	0.000000
7,	53.709999,	49.925001,	0.000000,	0.000000
8,	57.095001,	54.424999,	0.000000,	0.000000
9,	60.849998,	57.894998,	0.000000,	0.000000
10,	63.709999,	59.994998,	0.000000,	0.000000
11,	65.680000,	61.694999,	0.000000,	0.000000
12,	68.854996,	65.184999,	0.000000,	0.000000
13,	70.449997,	67.860003,	0.000000,	0.000000
14,	74.260002,	70.690003,	0.000000,	0.000000
15,	75.849998,	71.560000,	0.000000,	0.000000
16,	78.254997,	74.640000,	0.000000,	0.000000
17,	80.150002,	75.895001,	0.000000,	0.000000
18,	82.900002,	79.140001,	0.000000,	0.000000
19,	85.019997,	81.604999,	0.000000,	0.000000
20,	87.479996,	83.230000,	0.000000,	0.000000
21,	89.555000,	86.569999,	0.000000,	0.000000
22,	92.114998,	87.969999,	0.000000,	0.000000
23,	93.125000,	90.155003,	0.000000,	0.000000
24,	96.260002,	92.120002,	0.000000,	0.000000
25,	97.514999,	93.680001,	0.000000,	0.000000
26,	100.154999,	95.480004,	0.000000,	0.000000
27,	101.834999,	97.099998,	0.000000,	0.000000
28,	104.945000,	101.384996,	0.000000,	0.000000
29,	107.615005,	103.170000,	0.000000,	0.000000
30,	108.450005,	105.305003,	0.000000,	0.000000
31,	113.119995,	108.560001,	0.000000,	0.000000
32,	116.214996,	110.825002,	0.000000,	0.000000
33,	115.325005,	110.509999,	0.000000,	0.000000
34,	119.154999,	115.249999,	0.000000,	0.000000
35,	121.744995,	116.400001,	0.000000,	0.000000
36,	125.074997,	120.010002,	0.000000,	0.000000
37,	126.599998,	121.540001,	0.000000,	0.000000
38,	129.524994,	123.919999,	0.000000,	0.000000
39,	132.455002,	126.700001,	0.000000,	0.000000
40,	136.014999,	130.994997,	0.000000,	0.000000
41,	136.925003,	131.575001,	0.000000,	0.000000
42,	139.630005,	134.760000,	0.000000,	0.000000
43,	143.569992,	136.744997,	0.000000,	0.000000
44,	144.755005,	139.880001,	0.000000,	0.000000
45,	146.864990,	140.560003,	0.000000,	0.000000
