Time,	LatentP,	TotalInfectiousP,	RecoveredP,	RelapseP
0,	150.589996,	7.180000,	3.145000,	0.000000
1,	35.360001,	130.854996,	0.000000,	0.000000
2,	64.199997,	114.915001,	0.000000,	0.000000
3,	87.415001,	101.224998,	0.000000,	0.000000
4,	7.105000,	187.884995,	0.000000,	0.000000
5,	9.475000,	201.684998,	0.000000,	0.000000
6,	12.355000,	216.520004,	0.000000,	0.000000
7,	14.630000,	230.190002,	0.000000,	0.000000
8,	16.100000,	243.304993,	0.000000,	0.000000
9,	17.385000,	256.674988,	0.000000,	0.000000
10,	19.350000,	268.644989,	0.000000,	0.000000
11,	20.940001,	282.079987,	0.000000,	0.000000
12,	22.330000,	294.065002,	0.000000,	0.000000
13,	23.770000,	305.204987,	0.000000,	0.000000
14,	24.715000,	315.295013,	0.000000,	0.000000
15,	26.719999,	322.089996,	0.000000,	0.000000
16,	28.190001,	329.790009,	0.000000,	0.000000
17,	29.990000,	336.279999,	0.000000,	0.000000
18,	30.915001,	343.595001,	0.000000,	0.000000
19,	31.485001,	351.625000,	0.000000,	0.000000
20,	32.549999,	358.549988,	0.000000,	0.000000
21,	32.674999,	366.334991,	0.000000,	0.000000
22,	33.400002,	372.505005,	0.000000,	0.000000
23,	34.865002,	379.600006,	0.000000,	0.000000
24,	34.834999,	386.385010,	0.000000,	0.000000
25,	35.955002,	392.454987,	0.000000,	0.000000
26,	37.154999,	398.410004,	0.000000,	0.000000
27,	38.049999,	404.954987,	0.000000,	0.000000
28,	38.685001,	411.864990,	0.000000,	0.000000
29,	39.599998,	418.524994,	0.000000,	0.000000
30,	39.705002,	424.195007,	0.000000,	0.000000
31,	40.380001,	430.345001,	0.000000,	0.000000
32,	40.615002,	436.420013,	0.000000,	0.000000
33,	41.615002,	441.885010,	0.000000,	0.000000
34,	42.154999,	447.670013,	0.000000,	0.000000
35,	42.889999,	453.375000,	0.000000,	0.000000
36,	43.639999,	459.174988,	0.000000,	0.000000
37,	44.759998,	464.834991,	0.000000,	0.000000
38,	46.075001,	469.875000,	0.000000,	0.000000
39,	45.994999,	475.690002,	0.000000,	0.000000
40,	46.270000,	481.709991,	0.000000,	0.000000
41,	47.040001,	487.225006,	0.000000,	0.000000
42,	47.195000,	493.410004,	0.000000,	0.000000
43,	48.020000,	498.739990,	0.000000,	0.000000
44,	49.165001,	504.695007,	0.000000,	0.000000
45,	49.560001,	509.910004,	0.000000,	0.000000
46,	50.205002,	514.114990,	0.000000,	0.000000
47,	50.790001,	520.325012,	0.000000,	0.000000
48,	51.674999,	526.219971,	0.000000,	0.000000
49,	52.520000,	529.835022,	0.000000,	0.000000
50,	53.119999,	534.369995,	0.000000,	0.000000
51,	52.930000,	540.369995,	0.000000,	0.000000
52,	54.389999,	544.809998,	0.000000,	0.000000
53,	54.465000,	550.419983,	0.000000,	0.000000
54,	54.750000,	556.445007,	0.000000,	0.000000
55,	55.060001,	563.125000,	0.000000,	0.000000
56,	55.400002,	568.604980,	0.000000,	0.000000
57,	56.209999,	573.950012,	0.000000,	0.000000
58,	56.770000,	578.205017,	0.000000,	0.000000
59,	57.570000,	581.924988,	0.000000,	0.000000
60,	59.049999,	586.559998,	0.000000,	0.000000
61,	59.660000,	593.919983,	0.000000,	0.000000
62,	59.939999,	597.770020,	0.000000,	0.000000
63,	58.994999,	603.914978,	0.000000,	0.000000
64,	59.959999,	610.455017,	0.000000,	0.000000
65,	60.845001,	618.679993,	0.000000,	0.000000
66,	61.150002,	625.895020,	0.000000,	0.000000
67,	61.860001,	630.280029,	0.000000,	0.000000
68,	62.450001,	636.909973,	0.000000,	0.000000
69,	63.974998,	644.234985,	0.000000,	0.000000
70,	64.459999,	648.799988,	0.000000,	0.000000
71,	64.379997,	654.705017,	0.000000,	0.000000
72,	64.894997,	660.780029,	0.000000,	0.000000
73,	65.290001,	667.405029,	0.000000,	0.000000
74,	66.455002,	673.604980,	0.000000,	0.000000
75,	67.775002,	679.525024,	0.000000,	0.000000
76,	68.199997,	685.039978,	0.000000,	0.000000
77,	68.294998,	692.260010,	0.000000,	0.000000
78,	69.355003,	697.650024,	0.000000,	0.000000
79,	68.464996,	703.440002,	0.000000,	0.000000
80,	69.985001,	709.289978,	0.000000,	0.000000
81,	71.029999,	713.940002,	0.000000,	0.000000
82,	71.800003,	720.145020,	0.000000,	0.000000
83,	72.739998,	726.414978,	0.000000,	0.000000
84,	72.904999,	731.979980,	0.000000,	0.000000
85,	73.644997,	736.960022,	0.000000,	0.000000
86,	73.349998,	743.780029,	0.000000,	0.000000
87,	74.029999,	748.489990,	0.000000,	0.000000
88,	74.845001,	752.364990,	0.000000,	0.000000
89,	75.584999,	758.234985,	0.000000,	0.000000
90,	75.680000,	763.655029,	0.000000,	0.000000
91,	76.580002,	771.164978,	0.000000,	0.000000
92,	77.205002,	776.679993,	0.000000,	0.000000
93,	77.745003,	782.080017,	0.000000,	0.000000
94,	77.894997,	787.729980,	0.000000,	0.000000
95,	78.400002,	792.945007,	0.000000,	0.000000
96,	78.690002,	800.565002,	0.000000,	0.000000
97,	79.610001,	806.090027,	0.000000,	0.000000
98,	80.474998,	811.380005,	0.000000,	0.000000
99,	81.525002,	816.539978,	0.000000,	0.000000
100,	81.779999,	824.760010,	0.000000,	0.000000
101,	82.510002,	806.645020,	0.000000,	0.000000
102,	80.730003,	748.630005,	0.000000,	0.000000
103,	75.040001,	676.804993,	0.000000,	0.000000
104,	68.040001,	609.140015,	0.000000,	0.000000
105,	59.509998,	547.755005,	0.000000,	0.000000
106,	53.169998,	492.345001,	0.000000,	0.000000
107,	46.560001,	441.164978,	0.000000,	0.000000
108,	40.660000,	395.760010,	0.000000,	0.000000
109,	35.500000,	355.529999,	0.000000,	0.000000
110,	30.955000,	318.380005,	0.000000,	0.000000
111,	27.385000,	283.510010,	0.000000,	0.000000
112,	23.955000,	253.264999,	0.000000,	0.000000
113,	21.639999,	228.490005,	12.280000,	0.000000
114,	19.285000,	212.439987,	39.075001,	0.000000
115,	17.605000,	204.755005,	63.470001,	0.000000
116,	16.549999,	198.464996,	77.474998,	0.000000
117,	16.115000,	192.910004,	83.764999,	0.000000
118,	14.990000,	185.830002,	84.209999,	0.000000
119,	14.310000,	178.490005,	82.135002,	0.000000
120,	13.920000,	170.660004,	77.065002,	0.000000
121,	13.160000,	161.789993,	70.964996,	0.000000
122,	13.030000,	152.880005,	64.845001,	0.000000
123,	12.455000,	145.154999,	58.639999,	0.000000
124,	11.445000,	136.080002,	52.985001,	0.000000
125,	10.685000,	127.260002,	47.709999,	0.000000
126,	9.895000,	119.384995,	43.720001,	0.000000
127,	9.280000,	111.175003,	42.400002,	0.000000
128,	9.050000,	105.354996,	43.000000,	0.000000
129,	8.655000,	100.775002,	44.945000,	0.000000
130,	8.340000,	97.109993,	47.455002,	0.000000
131,	7.600000,	95.095009,	48.299999,	0.000000
132,	7.265000,	92.085007,	48.689999,	0.000000
133,	7.050000,	89.404999,	48.224998,	0.000000
134,	7.130000,	86.755005,	46.980000,	0.000000
135,	6.600000,	83.670006,	44.369999,	0.000000
136,	6.545000,	80.855003,	42.915001,	0.000000
137,	6.355000,	77.500000,	40.880001,	0.000000
138,	6.235000,	74.229996,	37.849998,	0.000000
139,	5.910000,	71.150002,	35.744999,	0.000000
140,	5.585000,	67.620003,	33.330002,	0.000000
141,	5.545000,	64.505005,	31.075001,	0.000000
142,	5.240000,	61.859997,	29.309999,	0.000000
143,	4.960000,	58.399998,	28.350000,	0.000000
144,	4.800000,	55.579998,	28.025000,	0.000000
145,	4.305000,	53.460003,	27.575001,	0.000000
146,	4.085000,	51.275002,	27.285000,	0.000000
147,	3.845000,	49.619999,	26.655001,	0.000000
148,	3.935000,	48.164997,	25.605000,	0.000000
149,	3.840000,	46.445000,	24.590000,	0.000000
150,	3.740000,	44.480000,	23.889999,	0.000000
151,	3.510000,	42.040001,	22.955000,	0.000000
152,	3.150000,	40.750000,	21.855000,	0.000000
153,	3.210000,	39.270000,	20.504999,	0.000000
154,	3.050000,	37.650002,	19.730000,	0.000000
155,	2.905000,	36.195000,	18.665001,	0.000000
156,	2.770000,	34.884998,	17.670000,	0.000000
157,	2.510000,	33.090000,	16.764999,	0.000000
158,	2.435000,	31.355000,	16.040001,	0.000000
159,	2.350000,	30.170000,	15.595000,	0.000000
160,	2.380000,	28.945000,	14.730000,	0.000000
161,	2.140000,	28.059999,	14.030000,	0.000000
162,	1.920000,	27.119999,	14.035000,	0.000000
163,	1.980000,	25.980000,	13.730000,	0.000000
164,	1.975000,	25.534998,	13.175000,	0.000000
165,	2.020000,	24.250000,	12.930000,	0.000000
166,	1.970000,	23.514999,	11.990000,	0.000000
167,	1.920000,	22.629999,	11.345000,	0.000000
168,	1.885000,	21.764999,	11.210000,	0.000000
169,	1.760000,	21.164999,	10.925000,	0.000000
170,	1.600000,	20.404999,	10.450000,	0.000000
171,	1.505000,	19.684999,	9.880000,	0.000000
172,	1.530000,	19.019999,	9.475000,	0.000000
173,	1.355000,	18.225000,	9.315000,	0.000000
174,	1.375000,	17.244999,	8.645000,	0.000000
175,	1.345000,	16.744999,	8.370000,	0.000000
176,	1.160000,	15.905001,	7.680000,	0.000000
177,	1.150000,	15.184999,	7.475000,	0.000000
178,	1.205000,	14.350000,	7.345000,	0.000000
179,	1.235000,	14.225000,	7.000000,	0.000000
180,	1.200000,	13.459999,	6.765000,	0.000000
181,	1.230000,	13.239999,	6.290000,	0.000000
182,	1.120000,	12.459999,	6.285000,	0.000000
183,	1.050000,	11.695000,	6.170000,	0.000000
184,	1.000000,	11.429999,	5.945000,	0.000000
185,	0.910000,	10.835000,	5.900000,	0.000000
186,	0.850000,	10.395000,	5.625000,	0.000000
187,	0.775000,	10.420000,	5.225000,	0.000000
188,	0.770000,	10.070001,	5.205000,	0.000000
189,	0.810000,	9.995000,	4.855000,	0.000000
190,	0.780000,	9.790000,	4.610000,	0.000000
191,	0.740000,	9.470000,	4.285000,	0.000000
