Time,	InfectiousP,	InfectiousIdentifiedP,	InfectiousUnderTreatmeanP,	InfectiousNotCuredP
0,	1.855000,	0.395000,	4.190000,	0.060000
1,	130.854996,	0.000000,	0.000000,	0.000000
2,	114.915001,	0.000000,	0.000000,	0.000000
3,	101.224998,	0.000000,	0.000000,	0.000000
4,	187.884995,	0.000000,	0.000000,	0.000000
5,	201.684998,	0.000000,	0.000000,	0.000000
6,	216.520004,	0.000000,	0.000000,	0.000000
7,	230.190002,	0.000000,	0.000000,	0.000000
8,	243.304993,	0.000000,	0.000000,	0.000000
9,	256.674988,	0.000000,	0.000000,	0.000000
10,	268.644989,	0.000000,	0.000000,	0.000000
11,	282.079987,	0.000000,	0.000000,	0.000000
12,	294.065002,	0.000000,	0.000000,	0.000000
13,	305.204987,	0.000000,	0.000000,	0.000000
14,	315.295013,	0.000000,	0.000000,	0.000000
15,	322.089996,	0.000000,	0.000000,	0.000000
16,	329.790009,	0.000000,	0.000000,	0.000000
17,	336.279999,	0.000000,	0.000000,	0.000000
18,	343.595001,	0.000000,	0.000000,	0.000000
19,	351.625000,	0.000000,	0.000000,	0.000000
20,	358.549988,	0.000000,	0.000000,	0.000000
21,	366.334991,	0.000000,	0.000000,	0.000000
22,	372.505005,	0.000000,	0.000000,	0.000000
23,	379.600006,	0.000000,	0.000000,	0.000000
24,	386.385010,	0.000000,	0.000000,	0.000000
25,	392.454987,	0.000000,	0.000000,	0.000000
26,	398.410004,	0.000000,	0.000000,	0.000000
27,	404.954987,	0.000000,	0.000000,	0.000000
28,	411.864990,	0.000000,	0.000000,	0.000000
29,	418.524994,	0.000000,	0.000000,	0.000000
30,	424.195007,	0.000000,	0.000000,	0.000000
31,	430.345001,	0.000000,	0.000000,	0.000000
32,	436.420013,	0.000000,	0.000000,	0.000000
33,	441.885010,	0.000000,	0.000000,	0.000000
34,	447.670013,	0.000000,	0.000000,	0.000000
35,	453.375000,	0.000000,	0.000000,	0.000000
36,	459.174988,	0.000000,	0.000000,	0.000000
37,	464.834991,	0.000000,	0.000000,	0.000000
38,	469.875000,	0.000000,	0.000000,	0.000000
39,	475.690002,	0.000000,	0.000000,	0.000000
40,	481.709991,	0.000000,	0.000000,	0.000000
41,	487.225006,	0.000000,	0.000000,	0.000000
42,	493.410004,	0.000000,	0.000000,	0.000000
43,	498.739990,	0.000000,	0.000000,	0.000000
44,	504.695007,	0.000000,	0.000000,	0.000000
45,	509.910004,	0.000000,	0.000000,	0.000000
46,	514.114990,	0.000000,	0.000000,	0.000000
47,	520.325012,	0.000000,	0.000000,	0.000000
48,	526.219971,	0.000000,	0.000000,	0.000000
49,	529.835022,	0.000000,	0.000000,	0.000000
50,	534.369995,	0.000000,	0.000000,	0.000000
51,	540.369995,	0.000000,	0.000000,	0.000000
52,	544.809998,	0.000000,	0.000000,	0.000000
53,	550.419983,	0.000000,	0.000000,	0.000000
54,	556.445007,	0.000000,	0.000000,	0.000000
55,	563.125000,	0.000000,	0.000000,	0.000000
56,	568.604980,	0.000000,	0.000000,	0.000000
57,	573.950012,	0.000000,	0.000000,	0.000000
58,	578.205017,	0.000000,	0.000000,	0.000000
59,	581.924988,	0.000000,	0.000000,	0.000000
60,	586.559998,	0.000000,	0.000000,	0.000000
61,	593.919983,	0.000000,	0.000000,	0.000000
62,	597.770020,	0.000000,	0.000000,	0.000000
63,	603.914978,	0.000000,	0.000000,	0.000000
64,	610.455017,	0.000000,	0.000000,	0.000000
65,	618.679993,	0.000000,	0.000000,	0.000000
66,	625.895020,	0.000000,	0.000000,	0.000000
67,	630.280029,	0.000000,	0.000000,	0.000000
68,	636.909973,	0.000000,	0.000000,	0.000000
69,	644.234985,	0.000000,	0.000000,	0.000000
70,	648.799988,	0.000000,	0.000000,	0.000000
71,	654.705017,	0.000000,	0.000000,	0.000000
72,	660.780029,	0.000000,	0.000000,	0.000000
73,	667.405029,	0.000000,	0.000000,	0.000000
74,	673.604980,	0.000000,	0.000000,	0.000000
75,	679.525024,	0.000000,	0.000000,	0.000000
76,	685.039978,	0.000000,	0.000000,	0.000000
77,	692.260010,	0.000000,	0.000000,	0.000000
78,	697.650024,	0.000000,	0.000000,	0.000000
79,	703.440002,	0.000000,	0.000000,	0.000000
80,	709.289978,	0.000000,	0.000000,	0.000000
81,	713.940002,	0.000000,	0.000000,	0.000000
82,	720.145020,	0.000000,	0.000000,	0.000000
83,	726.414978,	0.000000,	0.000000,	0.000000
84,	731.979980,	0.000000,	0.000000,	0.000000
85,	736.960022,	0.000000,	0.000000,	0.000000
86,	743.780029,	0.000000,	0.000000,	0.000000
87,	748.489990,	0.000000,	0.000000,	0.000000
88,	752.364990,	0.000000,	0.000000,	0.000000
89,	758.234985,	0.000000,	0.000000,	0.000000
90,	763.655029,	0.000000,	0.000000,	0.000000
91,	771.164978,	0.000000,	0.000000,	0.000000
92,	776.679993,	0.000000,	0.000000,	0.000000
93,	782.080017,	0.000000,	0.000000,	0.000000
94,	787.729980,	0.000000,	0.000000,	0.000000
95,	792.945007,	0.000000,	0.000000,	0.000000
96,	800.565002,	0.000000,	0.000000,	0.000000
97,	806.090027,	0.000000,	0.000000,	0.000000
98,	811.380005,	0.000000,	0.000000,	0.000000
99,	816.539978,	0.000000,	0.000000,	0.000000
100,	824.760010,	0.000000,	0.000000,	0.000000
101,	736.585022,	70.059998,	25.299999,	0.000000
102,	661.354980,	88.639999,	92.489998,	0.000000
103,	594.200012,	83.004997,	175.380005,	0.000000
104,	534.479980,	76.904999,	248.464996,	0.000000
105,	478.424988,	65.669998,	311.220001,	0.000000
106,	426.619995,	58.049999,	360.875000,	0.000000
107,	380.779999,	50.855000,	400.440002,	0.000000
108,	339.864990,	44.145000,	431.364990,	0.000000
109,	301.524994,	38.889999,	455.040009,	0.000000
110,	267.450012,	33.680000,	471.714996,	0.000000
111,	237.110001,	29.785000,	482.255005,	0.000000
112,	209.925003,	26.155001,	488.279999,	0.000000
113,	186.134995,	24.045000,	476.285004,	0.320000
114,	166.210007,	26.004999,	439.429993,	1.200000
115,	151.854996,	30.915001,	394.950012,	2.290000
116,	140.755005,	34.540001,	361.024994,	2.985000
117,	131.294998,	36.869999,	336.820007,	3.455000
118,	123.315002,	37.110001,	320.605011,	3.510000
119,	115.925003,	35.470001,	310.769989,	3.605000
120,	108.029999,	33.410000,	303.529999,	3.430000
121,	100.904999,	30.844999,	297.309998,	3.315000
122,	93.805000,	27.865000,	292.654999,	3.230000
123,	87.199997,	25.510000,	286.750000,	3.040000
124,	80.105003,	23.320000,	281.524994,	2.840000
125,	73.885002,	21.190001,	275.904999,	2.620000
126,	68.320000,	18.545000,	268.545013,	2.495000
127,	62.904999,	17.170000,	258.894989,	2.330000
128,	58.599998,	17.150000,	245.210007,	2.385000
129,	54.965000,	16.475000,	231.244995,	2.375000
130,	51.744999,	16.715000,	215.990005,	2.365000
131,	49.025002,	17.094999,	201.794998,	2.425000
132,	46.630001,	16.510000,	189.210007,	2.315000
133,	44.720001,	15.990000,	178.100006,	2.360000
134,	42.275002,	15.815000,	168.654999,	2.280000
135,	40.150002,	15.650000,	160.264999,	2.215000
136,	38.255001,	14.110000,	152.875000,	2.060000
137,	35.959999,	12.555000,	147.330002,	1.920000
138,	33.380001,	12.030000,	140.544998,	1.775000
139,	31.385000,	10.950000,	135.100006,	1.640000
140,	29.360001,	10.060000,	129.410004,	1.465000
141,	27.160000,	9.525000,	123.470001,	1.440000
142,	25.320000,	9.160000,	117.029999,	1.330000
143,	23.815001,	8.405000,	110.279999,	1.250000
144,	22.459999,	7.705000,	103.620003,	1.180000
145,	21.200001,	7.505000,	97.269997,	1.100000
146,	19.969999,	7.300000,	91.074997,	1.025000
147,	18.545000,	6.885000,	85.519997,	1.040000
148,	17.205000,	6.555000,	79.919998,	0.985000
149,	16.420000,	5.985000,	74.455002,	0.915000
150,	15.345000,	5.870000,	70.385002,	0.870000
151,	14.535000,	5.720000,	66.589996,	0.840000
152,	13.585000,	5.410000,	63.040001,	0.745000
153,	12.780000,	4.830000,	59.665001,	0.655000
154,	12.135000,	4.315000,	56.480000,	0.665000
155,	11.390000,	4.095000,	53.040001,	0.585000
156,	10.755000,	3.885000,	49.865002,	0.525000
157,	10.220000,	3.815000,	46.939999,	0.460000
158,	9.640000,	3.375000,	44.235001,	0.440000
159,	9.015000,	3.330000,	41.095001,	0.410000
160,	8.640000,	3.160000,	38.865002,	0.395000
161,	8.275000,	3.050000,	36.584999,	0.400000
162,	7.900000,	2.960000,	34.349998,	0.365000
163,	7.405000,	2.535000,	32.465000,	0.365000
164,	7.245000,	2.410000,	30.020000,	0.345000
165,	6.820000,	2.450000,	28.219999,	0.325000
166,	6.495000,	2.160000,	26.655001,	0.325000
167,	6.120000,	2.120000,	24.850000,	0.270000
168,	5.780000,	2.070000,	23.455000,	0.270000
169,	5.385000,	1.935000,	22.219999,	0.235000
170,	5.150000,	1.670000,	21.004999,	0.225000
171,	4.835000,	1.515000,	19.725000,	0.225000
172,	4.595000,	1.485000,	18.790001,	0.215000
173,	4.380000,	1.425000,	17.650000,	0.185000
174,	4.175000,	1.290000,	16.705000,	0.205000
175,	3.955000,	1.155000,	15.440000,	0.235000
176,	3.790000,	1.025000,	14.590000,	0.185000
177,	3.660000,	1.085000,	13.885000,	0.175000
178,	3.525000,	1.125000,	12.875000,	0.195000
179,	3.405000,	1.055000,	12.205000,	0.180000
180,	3.325000,	1.060000,	11.480000,	0.180000
181,	3.225000,	0.860000,	10.965000,	0.165000
182,	3.040000,	0.840000,	10.310000,	0.125000
183,	3.035000,	0.880000,	9.720000,	0.110000
184,	2.820000,	0.730000,	9.225000,	0.105000
185,	2.700000,	0.680000,	8.715000,	0.090000
186,	2.725000,	0.720000,	8.175000,	0.090000
187,	2.620000,	0.655000,	7.780000,	0.090000
188,	2.525000,	0.625000,	7.440000,	0.070000
189,	2.485000,	0.595000,	7.100000,	0.065000
190,	2.315000,	0.630000,	6.930000,	0.065000
191,	2.265000,	0.585000,	6.525000,	0.070000
192,	2.145000,	0.480000,	6.210000,	0.080000
193,	2.125000,	0.625000,	5.740000,	0.075000
194,	2.180000,	0.500000,	5.520000,	0.080000
195,	2.100000,	0.520000,	5.250000,	0.090000
196,	2.030000,	0.480000,	5.020000,	0.080000
197,	2.035000,	0.435000,	4.820000,	0.065000
198,	1.995000,	0.390000,	4.630000,	0.065000
199,	1.945000,	0.390000,	4.360000,	0.060000
200,	1.850000,	0.395000,	4.205000,	0.060000
