Time,	LatentTotal,	TotalInfectiousTotal,	RecoveredTotal,	RelapseTotal
0,	152.169998,	8.819999,	2.520000,	0.000000
1,	37.635002,	131.540005,	0.000000,	0.000000
2,	68.269997,	115.375000,	0.000000,	0.000000
3,	93.820000,	101.644997,	0.000000,	0.000000
4,	7.610000,	196.824997,	0.000000,	0.000000
5,	10.645000,	211.994996,	0.000000,	0.000000
6,	13.730000,	229.574995,	0.000000,	0.000000
7,	16.679998,	245.165002,	0.000000,	0.000000
8,	18.465000,	262.604998,	0.000000,	0.000000
9,	20.320000,	279.420009,	0.000000,	0.000000
10,	22.705000,	295.605006,	0.000000,	0.000000
11,	25.459999,	311.755013,	0.000000,	0.000000
12,	27.755001,	327.000001,	0.000000,	0.000000
13,	28.870001,	342.524988,	0.000000,	0.000000
14,	30.805000,	356.599993,	0.000000,	0.000000
15,	33.625000,	367.954989,	0.000000,	0.000000
16,	35.450001,	379.985003,	0.000000,	0.000000
17,	37.720001,	391.469993,	0.000000,	0.000000
18,	39.459999,	404.189985,	0.000000,	0.000000
19,	40.924999,	414.635004,	0.000000,	0.000000
20,	43.185001,	425.534988,	0.000000,	0.000000
21,	44.004997,	439.030005,	0.000000,	0.000000
22,	45.920002,	450.175001,	0.000000,	0.000000
23,	46.584999,	462.714994,	0.000000,	0.000000
24,	48.430000,	473.785004,	0.000000,	0.000000
25,	49.779999,	484.450010,	0.000000,	0.000000
26,	52.009998,	497.014996,	0.000000,	0.000000
27,	54.145000,	508.289993,	0.000000,	0.000000
28,	55.174999,	521.425011,	0.000000,	0.000000
29,	57.020000,	534.815014,	0.000000,	0.000000
30,	57.595001,	547.834995,	0.000000,	0.000000
31,	59.445000,	560.875023,	0.000000,	0.000000
32,	62.035000,	574.024998,	0.000000,	0.000000
33,	64.070000,	584.565022,	0.000000,	0.000000
34,	64.889999,	598.025009,	0.000000,	0.000000
35,	66.974998,	611.780006,	0.000000,	0.000000
36,	68.979996,	625.405025,	0.000000,	0.000000
37,	70.634995,	638.799999,	0.000000,	0.000000
38,	73.110001,	652.279991,	0.000000,	0.000000
39,	75.349998,	666.104996,	0.000000,	0.000000
40,	76.775002,	680.705002,	0.000000,	0.000000
41,	78.599998,	695.170006,	0.000000,	0.000000
42,	79.910004,	708.864998,	0.000000,	0.000000
43,	83.070000,	722.314980,	0.000000,	0.000000
44,	84.134995,	737.474983,	0.000000,	0.000000
45,	86.534996,	749.464989,	0.000000,	0.000000
46,	88.934998,	764.560005,	0.000000,	0.000000
47,	91.330002,	780.739975,	0.000000,	0.000000
48,	93.730003,	795.309990,	0.000000,	0.000000
49,	96.025002,	810.484993,	0.000000,	0.000000
50,	97.885002,	825.694977,	0.000000,	0.000000
51,	100.154999,	844.945007,	0.000000,	0.000000
52,	101.445000,	860.264984,	0.000000,	0.000000
53,	104.414993,	876.455017,	0.000000,	0.000000
54,	106.610001,	893.665009,	0.000000,	0.000000
55,	109.389999,	910.960022,	0.000000,	0.000000
56,	111.680000,	927.280029,	0.000000,	0.000000
57,	114.565002,	943.919983,	0.000000,	0.000000
58,	117.720001,	961.254974,	0.000000,	0.000000
59,	120.445007,	979.900009,	0.000000,	0.000000
60,	124.430000,	998.609970,	0.000000,	0.000000
61,	125.949997,	1019.255020,	0.000000,	0.000000
62,	128.029999,	1038.244995,	0.000000,	0.000000
63,	131.679993,	1057.370010,	0.000000,	0.000000
64,	135.794998,	1076.880020,	0.000000,	0.000000
65,	138.494995,	1096.080017,	0.000000,	0.000000
66,	140.444992,	1118.029968,	0.000000,	0.000000
67,	143.040009,	1139.685028,	0.000000,	0.000000
68,	146.604996,	1159.445007,	0.000000,	0.000000
69,	149.179993,	1181.485016,	0.000000,	0.000000
70,	153.135010,	1201.064972,	0.000000,	0.000000
71,	157.839996,	1223.054962,	0.000000,	0.000000
72,	159.970001,	1244.825012,	0.000000,	0.000000
73,	163.774994,	1266.550018,	0.000000,	0.000000
74,	166.985001,	1289.360016,	0.000000,	0.000000
