Time,	NewLatentP,	NewTotalInfectiousP,	NewRecoveredP,	NewRelapseP
0,	150.000000,	0.000000,	0.000000,	0.000000
1,	188.895004,	150.000000,	0.000000,	0.000000
2,	32.855000,	0.000000,	0.000000,	0.000000
3,	29.025000,	0.000000,	0.000000,	0.000000
4,	36.494999,	121.230003,	0.000000,	0.000000
5,	48.224998,	44.695000,	0.000000,	0.000000
6,	50.779999,	46.985001,	0.000000,	0.000000
7,	52.459999,	48.845001,	0.000000,	0.000000
8,	55.625000,	53.064999,	0.000000,	0.000000
9,	59.215000,	56.419998,	0.000000,	0.000000
10,	61.625000,	58.169998,	0.000000,	0.000000
11,	63.494999,	59.814999,	0.000000,	0.000000
12,	66.324997,	62.924999,	0.000000,	0.000000
13,	67.654999,	65.175003,	0.000000,	0.000000
14,	71.139999,	67.730003,	0.000000,	0.000000
15,	72.345001,	68.430000,	0.000000,	0.000000
16,	74.320000,	71.180000,	0.000000,	0.000000
17,	75.925003,	72.150002,	0.000000,	0.000000
18,	78.180000,	74.985001,	0.000000,	0.000000
19,	80.139999,	77.084999,	0.000000,	0.000000
20,	82.254997,	78.360001,	0.000000,	0.000000
21,	83.400002,	81.029999,	0.000000,	0.000000
22,	85.845001,	82.334999,	0.000000,	0.000000
23,	86.754997,	84.315002,	0.000000,	0.000000
24,	89.175003,	85.705002,	0.000000,	0.000000
25,	89.735001,	86.470001,	0.000000,	0.000000
26,	91.584999,	87.660004,	0.000000,	0.000000
27,	93.029999,	88.989998,	0.000000,	0.000000
28,	95.625000,	92.894997,	0.000000,	0.000000
29,	97.495003,	94.055000,	0.000000,	0.000000
30,	97.745003,	95.425003,	0.000000,	0.000000
31,	101.919998,	98.150002,	0.000000,	0.000000
32,	104.099998,	99.900002,	0.000000,	0.000000
33,	102.955002,	99.445000,	0.000000,	0.000000
34,	105.709999,	102.709999,	0.000000,	0.000000
35,	108.004997,	103.860001,	0.000000,	0.000000
36,	110.389999,	106.690002,	0.000000,	0.000000
37,	111.150002,	107.485001,	0.000000,	0.000000
38,	113.459999,	108.889999,	0.000000,	0.000000
39,	115.275002,	110.665001,	0.000000,	0.000000
40,	118.000000,	113.964996,	0.000000,	0.000000
41,	118.224998,	114.485001,	0.000000,	0.000000
42,	120.459999,	117.250000,	0.000000,	0.000000
43,	122.864998,	118.074997,	0.000000,	0.000000
44,	123.175003,	120.165001,	0.000000,	0.000000
45,	124.559998,	119.855003,	0.000000,	0.000000
46,	128.580002,	123.714996,	0.000000,	0.000000
47,	129.130005,	125.224998,	0.000000,	0.000000
48,	130.994995,	126.885002,	0.000000,	0.000000
49,	133.145004,	128.960007,	0.000000,	0.000000
50,	134.289993,	129.970001,	0.000000,	0.000000
51,	137.800003,	133.050003,	0.000000,	0.000000
52,	137.994995,	134.059998,	0.000000,	0.000000
53,	139.774994,	134.899994,	0.000000,	0.000000
54,	143.054993,	138.699997,	0.000000,	0.000000
55,	144.175003,	139.354996,	0.000000,	0.000000
56,	145.964996,	141.335007,	0.000000,	0.000000
57,	148.320007,	143.035004,	0.000000,	0.000000
58,	150.494995,	145.410004,	0.000000,	0.000000
59,	152.945007,	147.270004,	0.000000,	0.000000
60,	155.735001,	149.505005,	0.000000,	0.000000
61,	155.725006,	151.270004,	0.000000,	0.000000
62,	156.309998,	152.895004,	0.000000,	0.000000
63,	159.475006,	154.755005,	0.000000,	0.000000
64,	163.279999,	157.225006,	0.000000,	0.000000
65,	163.419998,	157.740005,	0.000000,	0.000000
66,	165.300003,	160.490005,	0.000000,	0.000000
67,	168.434998,	163.429993,	0.000000,	0.000000
68,	168.229996,	163.119995,	0.000000,	0.000000
69,	171.554993,	166.449997,	0.000000,	0.000000
70,	173.869995,	167.835007,	0.000000,	0.000000
71,	175.875000,	169.729996,	0.000000,	0.000000
72,	177.610001,	172.595001,	0.000000,	0.000000
73,	179.345001,	173.285004,	0.000000,	0.000000
74,	182.264999,	176.384995,	0.000000,	0.000000
75,	184.770004,	179.205002,	0.000000,	0.000000
76,	186.229996,	180.145004,	0.000000,	0.000000
77,	188.975006,	183.789993,	0.000000,	0.000000
78,	190.375000,	183.910004,	0.000000,	0.000000
79,	192.395004,	187.070007,	0.000000,	0.000000
80,	193.744995,	187.559998,	0.000000,	0.000000
81,	197.179993,	190.630005,	0.000000,	0.000000
82,	198.485001,	192.539993,	0.000000,	0.000000
83,	201.005005,	194.449997,	0.000000,	0.000000
84,	202.145004,	195.904999,	0.000000,	0.000000
85,	206.470001,	199.024994,	0.000000,	0.000000
86,	208.029999,	201.279999,	0.000000,	0.000000
87,	207.505005,	201.845001,	0.000000,	0.000000
88,	210.744995,	203.619995,	0.000000,	0.000000
89,	215.160004,	207.485001,	0.000000,	0.000000
90,	215.789993,	209.815002,	0.000000,	0.000000
91,	218.615005,	211.910004,	0.000000,	0.000000
92,	220.369995,	213.684998,	0.000000,	0.000000
93,	221.464996,	214.389999,	0.000000,	0.000000
94,	226.529999,	217.994995,	0.000000,	0.000000
95,	225.929993,	219.589996,	0.000000,	0.000000
96,	229.279999,	221.779999,	0.000000,	0.000000
97,	230.035004,	224.949997,	0.000000,	0.000000
98,	234.660004,	225.274994,	0.000000,	0.000000
99,	236.050003,	228.455002,	0.000000,	0.000000
100,	237.899994,	229.350006,	0.000000,	0.000000
101,	237.080002,	450.904999,	0.000000,	0.000000
102,	226.485001,	443.830017,	0.000000,	0.000000
103,	204.740005,	415.875000,	0.000000,	0.000000
104,	177.835007,	375.850006,	0.000000,	0.000000
105,	152.220001,	313.484985,	0.010000,	0.000000
106,	130.500000,	273.375000,	0.005000,	0.000000
107,	110.349998,	233.500000,	0.000000,	0.000000
108,	94.724998,	199.970001,	0.000000,	0.000000
109,	79.724998,	165.869995,	0.000000,	0.000000
110,	67.044998,	140.255005,	0.000000,	0.000000
111,	57.455002,	119.610001,	0.000000,	0.000000
112,	49.470001,	103.070000,	0.000000,	0.000000
113,	41.820000,	89.120003,	19.315001,	0.000000
114,	36.744999,	90.510002,	53.840000,	0.000000
115,	34.514999,	101.695007,	83.639999,	0.000000
116,	35.279999,	117.929993,	90.690002,	0.000000
117,	35.564999,	125.935005,	83.095001,	0.000000
118,	36.580002,	132.000015,	72.764999,	0.000000
119,	34.334999,	128.220001,	62.110001,	0.000000
120,	33.060001,	120.830002,	52.180000,	0.000000
121,	30.855000,	111.500000,	44.590000,	0.000000
122,	27.600000,	98.325005,	36.799999,	0.000000
123,	25.205000,	89.329994,	31.170000,	0.000000
124,	21.889999,	75.720001,	26.250000,	0.000000
125,	18.870001,	67.379997,	22.375000,	0.000000
126,	17.275000,	60.150002,	19.895000,	0.000000
127,	14.750000,	51.075001,	20.295000,	0.000000
128,	13.465000,	48.189999,	24.475000,	0.000000
129,	12.340000,	46.629997,	29.434999,	0.000000
130,	12.220000,	47.730000,	33.240002,	0.000000
131,	11.490000,	48.294998,	35.900002,	0.000000
132,	11.855000,	50.625004,	35.660000,	0.000000
133,	11.935000,	52.424999,	34.634998,	0.000000
134,	12.740000,	51.924999,	31.170000,	0.000000
135,	12.105000,	50.634998,	29.030001,	0.000000
136,	11.560000,	47.915001,	25.120001,	0.000000
137,	10.385000,	44.154999,	21.809999,	0.000000
138,	10.385000,	40.995003,	19.264999,	0.000000
139,	9.380000,	37.064999,	16.455000,	0.000000
140,	8.605000,	34.264999,	14.580000,	0.000000
141,	7.755000,	29.770000,	12.940000,	0.000000
142,	7.100000,	27.445000,	12.640000,	0.000000
143,	6.280000,	24.894999,	12.710000,	0.000000
144,	5.600000,	23.025000,	13.220000,	0.000000
145,	5.480000,	22.309999,	13.140000,	0.000000
146,	5.245000,	21.530001,	13.415000,	0.000000
147,	4.985000,	20.995001,	13.270000,	0.000000
148,	5.125000,	21.605000,	13.470000,	0.000000
149,	4.810000,	20.434999,	12.335000,	0.000000
150,	4.435000,	19.570000,	11.550000,	0.000000
151,	4.275000,	18.355001,	10.730000,	0.000000
152,	3.890000,	17.410000,	9.635000,	0.000000
153,	3.835000,	15.750001,	8.700000,	0.000000
154,	3.730000,	15.405001,	7.980000,	0.000000
155,	3.460000,	13.969999,	6.940000,	0.000000
156,	2.950000,	12.370000,	6.280000,	0.000000
157,	2.720000,	11.330000,	5.575000,	0.000000
158,	2.520000,	10.225000,	5.385000,	0.000000
159,	2.230000,	9.584999,	5.185000,	0.000000
160,	2.265000,	9.594999,	5.075000,	0.000000
161,	2.220000,	8.639999,	4.860000,	0.000000
162,	1.910000,	7.860000,	5.130000,	0.000000
163,	1.960000,	8.005000,	4.755000,	0.000000
164,	1.930000,	7.455000,	4.345000,	0.000000
165,	1.735000,	7.145000,	4.185000,	0.000000
166,	1.745000,	6.990000,	3.675000,	0.000000
