Time,	LatentP,	TotalInfectiousP,	RecoveredP,	RelapseP
0,	150.145004,	2.175000,	0.960000,	0.000000
1,	37.205002,	130.630005,	0.000000,	0.000000
2,	67.404999,	114.555000,	0.000000,	0.000000
3,	92.665001,	100.949997,	0.000000,	0.000000
4,	7.510000,	194.824997,	0.000000,	0.000000
5,	10.415000,	209.479996,	0.000000,	0.000000
6,	13.410000,	226.494995,	0.000000,	0.000000
7,	16.219999,	241.440002,	0.000000,	0.000000
8,	17.934999,	258.184998,	0.000000,	0.000000
9,	19.674999,	274.290009,	0.000000,	0.000000
10,	21.860001,	289.600006,	0.000000,	0.000000
11,	24.334999,	304.795013,	0.000000,	0.000000
12,	26.405001,	318.970001,	0.000000,	0.000000
13,	27.450001,	333.174988,	0.000000,	0.000000
14,	29.305000,	345.929993,	0.000000,	0.000000
15,	31.809999,	356.019989,	0.000000,	0.000000
16,	33.275002,	366.815002,	0.000000,	0.000000
17,	35.205002,	376.804993,	0.000000,	0.000000
18,	36.529999,	388.109985,	0.000000,	0.000000
19,	37.744999,	396.880005,	0.000000,	0.000000
20,	39.775002,	406.174988,	0.000000,	0.000000
21,	40.169998,	417.660004,	0.000000,	0.000000
22,	41.665001,	426.970001,	0.000000,	0.000000
23,	42.009998,	437.899994,	0.000000,	0.000000
24,	43.400002,	446.910004,	0.000000,	0.000000
25,	44.395000,	455.010010,	0.000000,	0.000000
26,	46.070000,	464.964996,	0.000000,	0.000000
27,	47.764999,	473.834991,	0.000000,	0.000000
28,	48.230000,	484.605011,	0.000000,	0.000000
29,	49.355000,	495.390015,	0.000000,	0.000000
30,	49.435001,	505.744995,	0.000000,	0.000000
31,	50.910000,	515.835022,	0.000000,	0.000000
32,	52.689999,	525.934998,	0.000000,	0.000000
33,	53.840000,	533.585022,	0.000000,	0.000000
34,	54.264999,	543.760010,	0.000000,	0.000000
35,	55.630001,	554.505005,	0.000000,	0.000000
36,	56.695000,	565.025024,	0.000000,	0.000000
37,	57.669998,	575.000000,	0.000000,	0.000000
38,	59.634998,	584.674988,	0.000000,	0.000000
39,	61.264999,	594.119995,	0.000000,	0.000000
40,	62.345001,	604.130005,	0.000000,	0.000000
41,	63.180000,	614.880005,	0.000000,	0.000000
42,	63.660000,	624.684998,	0.000000,	0.000000
43,	65.504997,	634.104980,	0.000000,	0.000000
44,	65.589996,	644.794983,	0.000000,	0.000000
45,	67.339996,	652.174988,	0.000000,	0.000000
46,	68.794998,	662.440002,	0.000000,	0.000000
47,	69.625000,	673.039978,	0.000000,	0.000000
48,	70.720001,	682.674988,	0.000000,	0.000000
49,	71.650002,	692.489990,	0.000000,	0.000000
50,	72.860001,	701.474976,	0.000000,	0.000000
51,	74.279999,	713.940002,	0.000000,	0.000000
52,	74.724998,	723.539978,	0.000000,	0.000000
53,	76.184998,	733.770020,	0.000000,	0.000000
54,	76.855003,	745.015015,	0.000000,	0.000000
55,	78.014999,	756.640015,	0.000000,	0.000000
56,	78.955002,	766.460022,	0.000000,	0.000000
57,	80.535004,	776.234985,	0.000000,	0.000000
58,	81.970001,	786.719971,	0.000000,	0.000000
