Time,	LatentM,	TotalInfectiousM,	RecoveredM,	RelapseM
0,	2.025000,	6.645000,	1.560000,	0.000000
1,	0.430000,	0.910000,	0.000000,	0.000000
2,	0.865000,	0.820000,	0.000000,	0.000000
3,	1.155000,	0.695000,	0.000000,	0.000000
4,	0.100000,	2.000000,	0.000000,	0.000000
5,	0.230000,	2.515000,	0.000000,	0.000000
6,	0.320000,	3.080000,	0.000000,	0.000000
7,	0.460000,	3.725000,	0.000000,	0.000000
8,	0.530000,	4.420000,	0.000000,	0.000000
9,	0.645000,	5.130000,	0.000000,	0.000000
10,	0.845000,	6.005000,	0.000000,	0.000000
11,	1.125000,	6.960000,	0.000000,	0.000000
12,	1.350000,	8.030000,	0.000000,	0.000000
13,	1.420000,	9.350000,	0.000000,	0.000000
14,	1.500000,	10.670000,	0.000000,	0.000000
15,	1.815000,	11.935000,	0.000000,	0.000000
16,	2.175000,	13.170000,	0.000000,	0.000000
17,	2.515000,	14.665000,	0.000000,	0.000000
18,	2.930000,	16.080000,	0.000000,	0.000000
19,	3.180000,	17.754999,	0.000000,	0.000000
20,	3.410000,	19.360001,	0.000000,	0.000000
21,	3.835000,	21.370001,	0.000000,	0.000000
22,	4.255000,	23.205000,	0.000000,	0.000000
23,	4.575000,	24.815001,	0.000000,	0.000000
24,	5.030000,	26.875000,	0.000000,	0.000000
25,	5.385000,	29.440001,	0.000000,	0.000000
26,	5.940000,	32.049999,	0.000000,	0.000000
27,	6.380000,	34.455002,	0.000000,	0.000000
28,	6.945000,	36.820000,	0.000000,	0.000000
29,	7.665000,	39.424999,	0.000000,	0.000000
30,	8.160000,	42.090000,	0.000000,	0.000000
31,	8.535000,	45.040001,	0.000000,	0.000000
32,	9.345000,	48.090000,	0.000000,	0.000000
33,	10.230000,	50.980000,	0.000000,	0.000000
34,	10.625000,	54.264999,	0.000000,	0.000000
35,	11.345000,	57.275002,	0.000000,	0.000000
36,	12.285000,	60.380001,	0.000000,	0.000000
37,	12.965000,	63.799999,	0.000000,	0.000000
38,	13.475000,	67.605003,	0.000000,	0.000000
39,	14.085000,	71.985001,	0.000000,	0.000000
40,	14.430000,	76.574997,	0.000000,	0.000000
41,	15.420000,	80.290001,	0.000000,	0.000000
42,	16.250000,	84.180000,	0.000000,	0.000000
43,	17.565001,	88.209999,	0.000000,	0.000000
44,	18.545000,	92.680000,	0.000000,	0.000000
45,	19.195000,	97.290001,	0.000000,	0.000000
46,	20.139999,	102.120003,	0.000000,	0.000000
47,	21.705000,	107.699997,	0.000000,	0.000000
48,	23.010000,	112.635002,	0.000000,	0.000000
49,	24.375000,	117.995003,	0.000000,	0.000000
50,	25.025000,	124.220001,	0.000000,	0.000000
51,	25.875000,	131.005005,	0.000000,	0.000000
52,	26.719999,	136.725006,	0.000000,	0.000000
53,	28.230000,	142.684998,	0.000000,	0.000000
54,	29.754999,	148.649994,	0.000000,	0.000000
55,	31.375000,	154.320007,	0.000000,	0.000000
56,	32.724998,	160.820007,	0.000000,	0.000000
57,	34.029999,	167.684998,	0.000000,	0.000000
58,	35.750000,	174.535004,	0.000000,	0.000000
59,	36.630001,	182.889999,	0.000000,	0.000000
60,	38.235001,	189.889999,	0.000000,	0.000000
61,	39.099998,	197.789993,	0.000000,	0.000000
62,	41.305000,	205.494995,	0.000000,	0.000000
63,	43.820000,	213.740005,	0.000000,	0.000000
64,	46.029999,	222.240005,	0.000000,	0.000000
65,	47.044998,	231.554993,	0.000000,	0.000000
66,	48.424999,	240.809998,	0.000000,	0.000000
67,	50.040001,	250.029999,	0.000000,	0.000000
68,	52.669998,	259.500000,	0.000000,	0.000000
69,	54.470001,	269.910004,	0.000000,	0.000000
70,	56.959999,	279.345001,	0.000000,	0.000000
71,	59.919998,	289.019989,	0.000000,	0.000000
72,	61.400002,	298.815002,	0.000000,	0.000000
73,	63.525002,	309.605011,	0.000000,	0.000000
74,	65.489998,	320.649994,	0.000000,	0.000000
75,	68.089996,	332.269989,	0.000000,	0.000000
76,	70.269997,	344.295013,	0.000000,	0.000000
77,	73.430000,	356.834991,	0.000000,	0.000000
78,	76.559998,	369.609985,	0.000000,	0.000000
79,	79.584999,	382.500000,	0.000000,	0.000000
80,	80.894997,	396.454987,	0.000000,	0.000000
81,	83.535004,	409.165009,	0.000000,	0.000000
82,	86.519997,	423.200012,	0.000000,	0.000000
83,	89.930000,	436.779999,	0.000000,	0.000000
84,	93.404999,	452.714996,	0.000000,	0.000000
85,	95.945000,	468.350006,	0.000000,	0.000000
86,	98.535004,	484.899994,	0.000000,	0.000000
87,	101.495003,	501.519989,	0.000000,	0.000000
88,	106.025002,	516.770020,	0.000000,	0.000000
89,	110.535004,	533.825012,	0.000000,	0.000000
90,	113.849998,	552.309998,	0.000000,	0.000000
91,	116.625000,	571.205017,	0.000000,	0.000000
92,	120.720001,	590.309998,	0.000000,	0.000000
93,	126.709999,	608.469971,	0.000000,	0.000000
94,	130.445007,	629.320007,	0.000000,	0.000000
95,	134.755005,	649.715027,	0.000000,	0.000000
96,	138.774994,	671.049988,	0.000000,	0.000000
97,	142.774994,	692.659973,	0.000000,	0.000000
98,	147.779999,	716.025024,	0.000000,	0.000000
99,	152.399994,	739.440002,	0.000000,	0.000000
100,	155.880005,	764.544983,	0.000000,	0.000000
101,	160.615005,	769.104980,	0.000000,	0.000000
102,	158.195007,	737.750000,	0.000000,	0.000000
103,	145.074997,	674.895020,	0.000000,	0.000000
104,	122.989998,	605.815002,	0.000000,	0.000000
105,	107.300003,	531.205017,	0.000000,	0.000000
106,	91.415001,	461.005005,	0.000000,	0.000000
107,	78.239998,	399.195007,	0.000000,	0.000000
108,	66.055000,	347.059998,	0.000000,	0.000000
109,	54.980000,	298.235016,	0.000000,	0.000000
110,	46.465000,	257.260010,	0.000000,	0.000000
111,	38.935001,	222.205002,	0.000000,	0.000000
112,	32.435001,	191.089996,	0.000000,	0.000000
113,	27.575001,	168.680008,	8.000000,	0.000000
114,	23.340000,	162.120010,	22.650000,	0.000000
115,	22.240000,	167.409988,	35.660000,	0.000000
116,	22.520000,	177.915009,	40.895000,	0.000000
117,	23.430000,	180.044998,	40.544998,	0.000000
118,	23.764999,	175.934998,	37.485001,	0.000000
119,	23.555000,	164.514999,	32.259998,	0.000000
120,	22.840000,	151.255005,	27.540001,	0.000000
121,	20.725000,	137.195007,	24.760000,	0.000000
122,	19.230000,	123.264999,	20.775000,	0.000000
123,	16.990000,	110.570000,	17.355000,	0.000000
124,	15.200000,	98.574997,	15.195000,	0.000000
125,	13.165000,	87.495003,	13.480000,	0.000000
126,	11.750000,	79.150002,	12.915000,	0.000000
127,	10.685000,	73.469994,	14.365000,	0.000000
128,	9.960000,	72.079994,	17.790001,	0.000000
129,	9.330000,	74.739998,	21.584999,	0.000000
130,	10.065000,	79.735001,	23.705000,	0.000000
131,	10.545000,	83.044998,	24.575001,	0.000000
132,	10.760000,	83.224998,	23.580000,	0.000000
133,	10.760000,	83.564995,	21.875000,	0.000000
134,	10.805000,	80.505005,	20.410000,	0.000000
135,	10.670000,	75.695000,	18.434999,	0.000000
136,	10.275000,	71.170006,	15.995000,	0.000000
137,	9.800000,	65.004997,	14.265000,	0.000000
138,	9.110000,	59.700001,	11.805000,	0.000000
139,	8.340000,	54.590000,	10.685000,	0.000000
140,	7.400000,	49.525002,	10.415000,	0.000000
141,	6.725000,	45.584999,	10.630000,	0.000000
142,	6.055000,	43.470001,	11.205000,	0.000000
143,	6.045000,	43.365002,	11.955000,	0.000000
144,	6.065000,	44.274998,	13.210000,	0.000000
145,	6.200000,	45.165001,	13.070000,	0.000000
146,	6.045000,	45.529999,	13.095000,	0.000000
147,	6.010000,	45.584999,	12.925000,	0.000000
148,	5.965000,	44.465000,	12.300000,	0.000000
149,	5.995000,	43.180000,	11.490000,	0.000000
150,	5.855000,	42.079998,	10.500000,	0.000000
151,	5.880000,	39.119999,	9.530000,	0.000000
152,	5.480000,	36.674999,	8.750000,	0.000000
153,	5.225000,	34.349998,	7.670000,	0.000000
154,	5.025000,	32.145000,	7.185000,	0.000000
155,	4.665000,	29.984999,	6.630000,	0.000000
156,	4.345000,	28.025000,	6.660000,	0.000000
157,	4.085000,	27.449999,	6.690000,	0.000000
158,	3.890000,	27.154999,	6.720000,	0.000000
159,	3.900000,	26.320000,	7.405000,	0.000000
160,	3.590000,	26.449999,	7.040000,	0.000000
161,	3.460000,	25.590000,	7.255000,	0.000000
162,	3.350000,	25.480000,	6.905000,	0.000000
163,	3.445000,	25.309999,	6.755000,	0.000000
164,	3.550000,	24.710001,	6.800000,	0.000000
165,	3.490000,	24.075001,	6.270000,	0.000000
166,	3.220000,	23.049999,	5.660000,	0.000000
167,	3.040000,	21.850000,	5.340000,	0.000000
168,	2.985000,	20.615000,	4.880000,	0.000000
169,	2.755000,	19.849998,	4.545000,	0.000000
170,	2.595000,	18.469999,	4.760000,	0.000000
171,	2.555000,	17.939999,	4.490000,	0.000000
172,	2.490000,	16.949999,	4.100000,	0.000000
173,	2.490000,	16.459999,	4.205000,	0.000000
174,	2.155000,	16.315001,	3.970000,	0.000000
175,	2.190000,	15.789999,	4.105000,	0.000000
176,	2.180000,	15.470000,	3.860000,	0.000000
177,	2.270000,	15.190000,	3.725000,	0.000000
178,	2.150000,	14.845001,	3.645000,	0.000000
179,	2.090000,	14.210001,	3.540000,	0.000000
180,	1.960000,	13.950000,	3.275000,	0.000000
181,	1.835000,	13.120000,	3.185000,	0.000000
182,	1.780000,	12.280001,	2.945000,	0.000000
183,	1.765000,	11.775000,	3.170000,	0.000000
184,	1.565000,	11.370000,	3.045000,	0.000000
185,	1.570000,	10.914999,	2.740000,	0.000000
186,	1.595000,	10.350000,	2.635000,	0.000000
187,	1.550000,	10.270000,	2.345000,	0.000000
188,	1.370000,	9.974999,	2.545000,	0.000000
189,	1.330000,	9.800000,	2.430000,	0.000000
190,	1.150000,	9.625000,	2.440000,	0.000000
191,	1.160000,	9.285000,	2.090000,	0.000000
192,	1.095000,	9.009999,	2.180000,	0.000000
193,	1.130000,	8.755000,	2.050000,	0.000000
194,	1.190000,	8.350000,	2.100000,	0.000000
195,	1.185000,	7.930000,	2.095000,	0.000000
196,	1.185000,	8.165000,	1.860000,	0.000000
197,	1.140000,	7.915000,	1.965000,	0.000000
198,	1.020000,	7.825000,	1.810000,	0.000000
199,	1.030000,	7.310000,	1.675000,	0.000000
200,	1.035000,	6.730000,	1.575000,	0.000000
