Time,	InfectiousM,	InfectiousIdentifiedM,	InfectiousUnderTreatmeanM,	InfectiousNotCuredM
0,	1.535000,	4.515000,	33.465000,	0.595000
1,	0.910000,	0.000000,	0.000000,	0.000000
2,	0.820000,	0.000000,	0.000000,	0.000000
3,	0.695000,	0.000000,	0.000000,	0.000000
4,	2.000000,	0.000000,	0.000000,	0.000000
5,	2.515000,	0.000000,	0.000000,	0.000000
6,	3.080000,	0.000000,	0.000000,	0.000000
7,	3.725000,	0.000000,	0.000000,	0.000000
8,	4.420000,	0.000000,	0.000000,	0.000000
9,	5.130000,	0.000000,	0.000000,	0.000000
10,	6.005000,	0.000000,	0.000000,	0.000000
11,	6.960000,	0.000000,	0.000000,	0.000000
12,	8.030000,	0.000000,	0.000000,	0.000000
13,	9.350000,	0.000000,	0.000000,	0.000000
14,	10.670000,	0.000000,	0.000000,	0.000000
15,	11.935000,	0.000000,	0.000000,	0.000000
16,	13.170000,	0.000000,	0.000000,	0.000000
17,	14.665000,	0.000000,	0.000000,	0.000000
18,	16.080000,	0.000000,	0.000000,	0.000000
19,	17.754999,	0.000000,	0.000000,	0.000000
20,	19.360001,	0.000000,	0.000000,	0.000000
21,	21.370001,	0.000000,	0.000000,	0.000000
22,	23.205000,	0.000000,	0.000000,	0.000000
23,	24.815001,	0.000000,	0.000000,	0.000000
24,	26.875000,	0.000000,	0.000000,	0.000000
25,	29.440001,	0.000000,	0.000000,	0.000000
26,	32.049999,	0.000000,	0.000000,	0.000000
27,	34.455002,	0.000000,	0.000000,	0.000000
28,	36.820000,	0.000000,	0.000000,	0.000000
29,	39.424999,	0.000000,	0.000000,	0.000000
30,	42.090000,	0.000000,	0.000000,	0.000000
31,	45.040001,	0.000000,	0.000000,	0.000000
32,	48.090000,	0.000000,	0.000000,	0.000000
33,	50.980000,	0.000000,	0.000000,	0.000000
34,	54.264999,	0.000000,	0.000000,	0.000000
35,	57.275002,	0.000000,	0.000000,	0.000000
36,	60.380001,	0.000000,	0.000000,	0.000000
37,	63.799999,	0.000000,	0.000000,	0.000000
38,	67.605003,	0.000000,	0.000000,	0.000000
39,	71.985001,	0.000000,	0.000000,	0.000000
40,	76.574997,	0.000000,	0.000000,	0.000000
41,	80.290001,	0.000000,	0.000000,	0.000000
